Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,44,22,1047,4.8,11.4,0.422,0.6,1.9,0.296,4.3,9.6,0.446,1.3,2.4,0.557,3.5,7.4,10.8,1.8,0.8,0.9,1.5,3.0,11.5
Steven Adams,52,51,1354,3.6,6.7,0.53,0.0,0.0,,3.6,6.7,0.53,2.1,3.6,0.582,6.0,7.1,13.1,4.3,1.3,0.9,2.2,2.4,9.2
Bam Adebayo,30,30,985,7.5,14.5,0.518,0.0,0.1,0.0,7.5,14.4,0.522,5.1,6.6,0.772,2.9,8.0,10.9,3.9,1.7,0.7,3.3,3.5,20.1
Santi Aldama,27,0,277,4.8,12.6,0.381,0.5,5.1,0.103,4.3,7.5,0.569,1.6,2.6,0.6,3.0,5.3,8.3,1.8,0.3,0.9,1.2,3.5,11.7
LaMarcus Aldridge,36,11,825,9.0,16.3,0.555,0.5,1.7,0.316,8.5,14.6,0.582,2.5,3.0,0.853,2.4,6.5,8.8,1.4,0.6,1.7,1.4,2.7,21.1
Nickeil Alexander-Walker,50,19,1317,6.5,17.3,0.375,2.6,8.3,0.311,3.9,8.9,0.434,1.9,2.7,0.722,1.0,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
Grayson Allen,46,45,1298,5.2,12.1,0.428,3.2,8.2,0.394,1.9,3.9,0.5,1.3,1.6,0.857,0.7,3.7,4.4,1.9,1.1,0.4,0.8,1.8,14.9
Jarrett Allen,47,47,1531,7.3,10.9,0.667,0.0,0.2,0.1,7.3,10.7,0.679,3.3,4.8,0.686,4.0,8.3,12.3,2.0,0.8,1.5,2.0,2.0,17.9
Jose Alvarado,27,1,335,5.4,12.8,0.42,1.6,5.3,0.306,3.8,7.5,0.5,1.5,2.3,0.667,1.0,2.9,3.9,5.8,3.2,0.3,1.1,4.0,13.9
Justin Anderson,6,0,77,2.8,8.9,0.316,1.4,7.0,0.2,1.4,1.9,0.75,2.8,3.3,0.857,0.9,3.7,4.7,4.2,0.9,0.5,1.4,4.2,9.8
Kyle Anderson,43,8,955,5.1,11.7,0.431,1.0,2.9,0.342,4.1,8.9,0.46,1.7,2.6,0.657,1.5,7.0,8.5,4.2,1.8,1.0,1.6,2.4,12.8
Giannis Antetokounmpo,46,46,1499,11.1,20.4,0.544,1.3,4.3,0.303,9.8,16.1,0.607,8.8,12.2,0.722,2.1,10.4,12.5,6.6,1.1,1.6,3.7,3.6,32.3
Thanasis Antetokounmpo,33,5,347,3.9,8.6,0.458,0.1,1.1,0.091,3.8,7.5,0.514,1.6,2.5,0.625,3.1,4.9,8.0,2.0,1.3,0.8,2.0,5.8,9.5
Carmelo Anthony,50,3,1327,6.2,14.2,0.437,3.1,8.0,0.392,3.1,6.2,0.496,2.7,3.2,0.824,1.1,4.5,5.6,1.4,1.0,1.1,1.2,3.0,18.2
Cole Anthony,42,42,1396,6.6,16.7,0.392,2.3,7.2,0.327,4.2,9.5,0.441,3.8,4.5,0.851,0.7,5.7,6.4,6.6,1.0,0.3,3.0,2.9,19.3
OG Anunoby,38,38,1413,6.7,15.0,0.446,2.4,6.8,0.358,4.3,8.3,0.517,2.0,2.7,0.743,1.6,4.0,5.6,2.6,1.6,0.6,1.8,2.9,17.8
Trevor Ariza,18,8,350,2.6,7.1,0.362,2.0,5.9,0.333,0.6,1.2,0.5,0.7,1.0,0.7,0.5,5.7,6.2,2.4,1.0,0.4,0.8,1.9,7.8
D.J. Augustin,34,2,510,3.9,9.6,0.404,2.8,6.8,0.406,1.1,2.8,0.4,2.3,2.7,0.868,0.5,2.4,2.9,5.2,0.7,0.0,3.2,1.2,12.8
Deni Avdija,53,6,1206,4.3,9.6,0.444,1.3,4.3,0.306,3.0,5.3,0.556,1.7,2.2,0.747,1.0,6.7,7.7,2.6,1.2,0.9,1.4,3.6,11.5
Joel Ayayi,7,0,20,1.8,10.8,0.167,0.0,1.8,0.0,1.8,9.0,0.2,0.0,0.0,,1.8,3.6,5.4,7.2,0.0,0.0,0.0,0.0,3.6
Deandre Ayton,33,33,967,8.6,13.6,0.635,0.1,0.3,0.25,8.5,13.3,0.643,2.5,3.4,0.725,3.4,9.3,12.7,1.9,1.0,0.9,2.1,2.8,19.7
Udoka Azubuike,13,5,149,5.6,8.2,0.676,0.0,0.0,,5.6,8.2,0.676,1.0,2.2,0.444,3.1,9.4,12.6,0.0,0.2,2.4,2.4,4.1,12.1
Marvin Bagley III,30,17,656,6.3,13.5,0.463,0.8,3.4,0.242,5.4,10.1,0.538,1.9,2.6,0.745,3.7,8.1,11.8,0.9,0.5,0.6,1.2,2.7,15.3
LaMelo Ball,49,49,1589,7.9,18.6,0.423,2.9,7.9,0.361,5.0,10.7,0.468,3.4,3.9,0.865,1.8,6.1,7.9,8.3,1.7,0.5,3.5,3.5,22.0
Lonzo Ball,35,35,1212,4.8,11.4,0.423,3.3,7.7,0.423,1.5,3.7,0.423,0.6,0.8,0.75,1.0,4.6,5.6,5.3,1.9,0.9,2.4,2.5,13.5
Mo Bamba,45,43,1180,5.5,11.6,0.47,1.7,5.1,0.343,3.7,6.6,0.567,1.2,1.5,0.792,2.9,8.1,11.0,1.8,0.9,2.7,1.7,3.5,13.8
Desmond Bane,52,52,1564,7.9,17.3,0.459,3.4,8.2,0.408,4.6,9.0,0.505,1.8,2.0,0.897,0.7,4.6,5.3,2.9,1.4,0.6,1.8,2.9,21.0
Dalano Banton,43,1,505,4.3,10.6,0.403,0.8,2.7,0.289,3.5,7.9,0.441,1.3,2.0,0.643,1.9,4.8,6.7,5.0,1.5,0.6,3.2,3.7,10.6
Cat Barber,3,0,13,0.0,11.1,0.0,0.0,0.0,,0.0,11.1,0.0,0.0,11.1,0.0,2.8,5.5,8.3,8.3,0.0,0.0,2.8,2.8,0.0
Harrison Barnes,52,52,1755,5.6,12.0,0.462,2.2,5.3,0.412,3.4,6.7,0.502,5.0,6.0,0.829,1.2,5.4,6.5,2.7,0.8,0.2,1.7,1.3,18.3
Scottie Barnes,45,45,1620,5.8,12.3,0.475,0.9,2.7,0.325,5.0,9.6,0.516,2.3,3.1,0.741,2.5,5.1,7.7,3.4,1.0,0.8,1.9,2.8,14.8
RJ Barrett,48,48,1587,6.9,16.9,0.412,2.2,6.1,0.354,4.8,10.7,0.445,3.5,5.1,0.695,0.9,5.2,6.2,2.8,0.6,0.3,2.1,2.2,19.6
Will Barton,47,47,1533,6.6,14.7,0.444,2.6,6.9,0.375,4.0,7.9,0.504,1.5,1.9,0.778,0.8,4.7,5.5,4.6,1.0,0.6,2.1,1.7,17.2
Paris Bass,2,0,7,10.3,30.9,0.333,0.0,10.3,0.0,10.3,20.6,0.5,10.3,10.3,1.0,10.3,10.3,20.6,0.0,5.1,0.0,10.3,10.3,30.9
Charles Bassey,22,0,161,6.3,9.6,0.651,0.0,0.9,0.0,6.3,8.7,0.718,1.8,2.5,0.727,4.5,8.9,13.4,1.6,0.9,3.8,1.8,6.9,14.3
Keita Bates-Diop,42,12,701,4.7,9.4,0.5,0.7,2.2,0.333,4.0,7.3,0.549,1.5,2.2,0.69,2.4,6.4,8.7,1.3,1.0,0.7,1.5,2.2,11.7
Nicolas Batum,35,30,871,4.6,9.6,0.483,2.8,6.9,0.405,1.8,2.6,0.688,0.7,1.0,0.667,0.7,5.7,6.4,2.3,1.4,1.1,1.1,2.1,12.7
Kent Bazemore,31,14,455,3.1,9.4,0.328,1.8,5.1,0.354,1.3,4.3,0.296,1.0,1.3,0.765,0.7,3.6,4.3,2.3,1.6,0.5,0.8,4.4,9.0
Darius Bazley,49,33,1309,4.7,11.7,0.401,1.4,4.7,0.292,3.3,7.0,0.474,2.1,3.1,0.685,1.5,7.1,8.6,1.6,1.1,1.5,1.8,1.3,12.8
Bradley Beal,40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
Malik Beasley,55,10,1421,6.1,16.1,0.38,4.1,11.5,0.358,2.0,4.6,0.434,0.8,1.0,0.75,0.5,3.7,4.2,2.1,0.7,0.2,0.9,1.7,17.2
Jordan Bell,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,18.0,0.0,18.0,0.0,18.0,0.0,0.0,36.0,0.0
DeAndre' Bembry,48,20,949,4.6,8.1,0.568,0.6,1.4,0.417,4.0,6.7,0.599,0.8,1.3,0.6,1.4,4.3,5.8,2.3,1.8,0.9,1.1,3.9,10.5
Dāvis Bertāns,34,0,501,4.3,12.3,0.351,3.3,10.3,0.319,1.0,1.9,0.519,2.0,2.2,0.933,0.4,4.0,4.4,1.1,0.8,0.4,1.0,4.0,13.9
Patrick Beverley,36,32,931,4.3,10.7,0.406,1.9,5.6,0.333,2.5,5.1,0.485,1.9,2.6,0.706,1.5,4.7,6.2,7.0,1.5,1.2,1.5,4.0,12.4
Saddiq Bey,54,54,1807,5.7,15.0,0.381,2.7,7.9,0.338,3.1,7.1,0.43,2.6,3.1,0.827,1.4,4.7,6.2,2.9,1.0,0.2,1.4,1.8,16.7
Khem Birch,27,7,508,3.6,7.5,0.481,0.0,0.6,0.0,3.6,6.9,0.52,2.3,3.1,0.75,4.5,4.3,8.9,2.1,1.3,0.9,1.2,3.0,9.6
Goga Bitadze,32,5,359,5.8,13.1,0.443,0.8,4.5,0.178,5.0,8.6,0.581,2.9,4.6,0.63,4.4,4.7,9.1,1.9,1.2,2.1,2.5,5.5,15.3
Bismack Biyombo,15,3,290,6.7,11.0,0.607,0.0,0.0,,6.7,11.0,0.607,3.2,5.8,0.553,5.5,7.4,12.9,1.7,1.1,1.7,1.5,3.8,16.6
Nemanja Bjelica,49,0,755,5.5,12.1,0.453,1.9,5.6,0.342,3.6,6.5,0.547,2.1,3.0,0.71,2.0,7.5,9.5,4.3,1.5,0.8,2.7,3.8,15.0
Eric Bledsoe,54,29,1361,5.2,12.4,0.421,1.3,4.3,0.313,3.9,8.1,0.479,2.4,3.1,0.761,0.7,4.1,4.8,6.0,1.8,0.5,3.1,2.2,14.1
Keljin Blevins,12,0,73,4.4,11.3,0.391,3.0,6.9,0.429,1.5,4.4,0.333,0.0,1.0,0.0,1.0,3.0,3.9,2.0,0.0,0.0,3.0,2.5,11.8
Bogdan Bogdanović,36,26,1027,5.7,13.8,0.417,3.0,8.2,0.363,2.8,5.6,0.497,1.3,1.6,0.8,0.4,4.3,4.7,3.7,1.1,0.2,1.3,2.5,15.7
Bojan Bogdanović,53,53,1641,7.1,15.5,0.459,2.8,7.4,0.382,4.3,8.1,0.53,3.8,4.4,0.871,1.0,4.1,5.1,2.0,0.5,0.0,1.9,2.0,20.9
Bol Bol,14,0,81,6.7,12.0,0.556,0.4,1.8,0.25,6.2,10.2,0.609,0.9,2.2,0.4,1.8,7.1,8.9,2.2,0.4,0.9,1.8,1.8,14.7
Leandro Bolmaro,25,2,188,1.7,6.1,0.281,0.4,2.3,0.167,1.3,3.8,0.35,1.5,1.7,0.889,2.9,3.8,6.7,2.1,1.0,0.0,2.3,4.0,5.4
Isaac Bonga,13,0,66,1.6,7.1,0.231,0.5,2.2,0.25,1.1,4.9,0.222,2.2,3.3,0.667,2.2,1.6,3.8,1.6,3.8,1.1,1.1,5.5,6.0
Devin Booker,47,47,1598,9.9,22.0,0.45,2.8,7.5,0.373,7.1,14.4,0.49,4.6,5.4,0.857,0.8,4.8,5.6,4.6,1.0,0.3,2.5,2.7,27.2
Brandon Boston Jr.,39,0,605,5.5,15.2,0.363,1.5,5.4,0.289,4.0,9.9,0.404,2.8,3.3,0.855,0.8,4.7,5.5,2.0,1.2,0.6,1.5,2.0,15.4
Chris Boucher,51,8,1028,5.8,12.5,0.461,1.4,4.9,0.279,4.4,7.6,0.578,3.2,4.2,0.767,3.7,6.8,10.5,0.6,1.2,1.9,1.1,3.9,16.1
James Bouknight,25,0,249,6.1,16.5,0.368,2.0,5.9,0.341,4.0,10.6,0.384,3.3,3.9,0.852,2.5,3.0,5.5,2.7,0.7,0.0,1.4,3.2,17.5
Avery Bradley,48,41,1139,3.8,9.3,0.41,2.1,5.5,0.376,1.7,3.8,0.458,0.4,0.4,0.857,0.8,2.7,3.5,1.3,1.4,0.3,1.0,2.9,10.0
Tony Bradley,41,7,474,4.6,8.0,0.581,0.0,0.0,,4.6,8.0,0.581,1.1,1.5,0.7,4.1,7.7,11.8,1.6,0.8,2.1,2.0,4.1,10.3
Ignas Brazdeikis,25,0,228,4.1,11.2,0.366,1.6,5.2,0.303,2.5,6.0,0.421,1.4,1.9,0.75,1.6,3.8,5.4,3.0,0.9,0.2,1.3,3.9,11.2
Mikal Bridges,54,54,1877,5.4,10.3,0.522,1.4,3.9,0.369,4.0,6.4,0.615,1.3,1.5,0.875,1.1,3.4,4.4,2.2,1.3,0.5,0.8,2.0,13.6
Miles Bridges,54,54,1941,7.4,15.3,0.485,1.8,5.9,0.31,5.6,9.4,0.593,3.2,4.0,0.797,1.2,6.0,7.1,3.6,1.1,0.9,1.8,2.7,19.9
Oshae Brissett,43,1,822,4.2,10.4,0.403,1.6,4.7,0.333,2.6,5.7,0.462,2.1,3.2,0.658,2.5,5.8,8.2,1.4,1.1,0.6,1.4,2.6,12.1
Malcolm Brogdon,28,28,934,7.1,15.8,0.448,1.8,5.8,0.307,5.3,10.1,0.529,4.0,4.7,0.861,0.9,4.6,5.6,6.4,0.9,0.4,2.4,2.2,20.0
Armoni Brooks,41,8,690,4.5,13.1,0.347,3.3,11.1,0.3,1.2,2.0,0.605,0.8,1.0,0.842,0.6,3.6,4.2,2.6,1.1,0.4,1.2,3.1,13.3
Dillon Brooks,21,20,587,8.9,20.9,0.426,2.0,6.2,0.327,6.9,14.7,0.469,3.9,4.4,0.889,1.0,3.2,4.2,3.5,1.7,0.2,2.3,4.2,23.7
Bruce Brown,45,19,924,4.5,9.4,0.477,0.4,1.4,0.297,4.1,7.9,0.51,1.2,1.6,0.738,2.1,5.3,7.5,2.1,1.6,0.9,1.2,4.1,10.6
Charlie Brown Jr.,17,2,166,2.0,7.8,0.25,0.2,2.6,0.083,1.7,5.2,0.333,1.5,1.7,0.875,3.0,3.7,6.7,1.1,2.0,0.9,1.1,3.9,5.6
Chaundee Brown Jr.,5,2,104,3.5,11.1,0.313,2.1,6.2,0.333,1.4,4.8,0.286,1.7,2.1,0.833,0.3,5.2,5.5,1.4,0.7,0.0,0.3,2.4,10.7
Greg Brown III,25,0,173,6.7,14.6,0.457,0.8,4.0,0.211,5.8,10.6,0.549,3.5,5.8,0.607,3.3,5.8,9.2,1.2,1.2,1.5,1.9,4.4,17.7
Jaylen Brown,42,42,1435,9.2,19.9,0.461,2.8,8.1,0.349,6.4,11.9,0.537,4.0,5.1,0.783,0.9,6.0,6.9,3.4,1.1,0.4,3.1,2.7,25.2
Moses Brown,26,1,169,5.8,10.7,0.54,0.0,0.0,,5.8,10.7,0.54,5.8,9.2,0.628,3.4,9.6,13.0,0.2,0.6,1.9,3.0,6.0,17.3
Sterling Brown,36,3,513,3.6,9.0,0.398,1.9,5.5,0.342,1.7,3.4,0.49,0.7,0.8,0.909,1.5,7.3,8.8,2.0,0.8,0.4,1.5,3.0,9.8
Troy Brown Jr.,44,5,782,3.7,8.7,0.431,1.5,4.2,0.352,2.3,4.5,0.505,0.9,1.2,0.76,1.3,5.2,6.6,2.4,1.2,0.2,0.9,2.3,9.8
Jalen Brunson,54,36,1708,7.4,14.5,0.507,1.2,3.4,0.354,6.2,11.1,0.554,2.3,2.9,0.81,0.6,3.7,4.3,6.2,1.0,0.1,2.0,2.1,18.3
Thomas Bryant,11,4,177,5.7,12.6,0.452,1.4,4.3,0.333,4.3,8.3,0.512,2.6,3.5,0.765,2.2,5.3,7.5,1.2,0.6,1.0,1.6,3.9,15.5
Shaq Buchanan,2,0,10,3.6,14.4,0.25,0.0,7.2,0.0,3.6,7.2,0.5,0.0,0.0,,3.6,3.6,7.2,7.2,3.6,0.0,7.2,3.6,7.2
Reggie Bullock,47,16,1164,4.0,9.8,0.411,2.7,7.4,0.358,1.4,2.4,0.579,0.8,1.0,0.844,0.6,4.4,5.0,1.5,0.8,0.2,0.8,1.9,11.5
Trey Burke,30,0,334,7.5,17.8,0.424,2.5,7.1,0.348,5.1,10.7,0.475,1.7,1.8,0.941,0.3,2.7,3.0,4.9,1.1,0.0,2.3,3.2,19.3
Alec Burks,54,21,1445,4.5,11.7,0.382,2.4,6.1,0.388,2.1,5.6,0.377,3.6,4.3,0.832,0.8,5.0,5.8,3.4,1.5,0.4,1.3,3.2,14.9
Jared Butler,26,1,206,6.1,15.0,0.407,2.8,7.9,0.356,3.3,7.2,0.463,1.2,2.1,0.583,0.5,3.3,3.8,5.1,1.4,1.2,3.8,4.7,16.3
Jimmy Butler,36,36,1215,7.7,15.7,0.491,0.4,2.0,0.212,7.3,13.7,0.531,7.4,8.3,0.89,2.0,4.6,6.6,6.6,1.9,0.5,2.2,1.5,23.2
Devontae Cacok,8,0,67,8.6,12.4,0.696,0.0,0.0,,8.6,12.4,0.696,2.1,3.8,0.571,2.7,11.8,14.5,1.1,2.1,3.8,0.5,4.3,19.3
Kentavious Caldwell-Pope,50,50,1461,5.0,12.3,0.404,2.4,6.4,0.368,2.6,5.9,0.444,1.6,1.7,0.887,0.6,3.6,4.2,2.1,1.3,0.5,1.5,2.1,13.9
Facundo Campazzo,51,4,1024,3.4,9.0,0.38,1.8,5.7,0.313,1.6,3.2,0.5,1.9,2.3,0.803,0.6,2.7,3.3,6.7,1.9,0.7,2.1,3.6,10.5
Vlatko Čančar,14,1,152,5.2,9.2,0.564,1.7,2.8,0.583,3.6,6.4,0.556,2.1,2.8,0.75,1.4,4.0,5.4,3.1,0.5,0.7,1.9,3.1,14.2
Clint Capela,46,45,1295,6.3,10.8,0.58,0.0,0.0,0.0,6.3,10.8,0.581,1.4,3.1,0.455,4.9,10.6,15.5,1.8,1.0,1.7,0.7,2.9,13.9
Vernon Carey Jr.,4,1,17,6.4,12.7,0.5,0.0,0.0,,6.4,12.7,0.5,4.2,6.4,0.667,6.4,4.2,10.6,0.0,2.1,0.0,2.1,2.1,16.9
Jevon Carter,41,1,484,3.6,10.9,0.327,2.7,7.9,0.34,0.9,3.0,0.293,0.4,0.6,0.75,0.5,3.7,4.2,3.0,1.0,0.7,1.4,3.0,10.3
Wendell Carter Jr.,47,46,1376,6.4,12.6,0.504,1.4,4.4,0.329,4.9,8.2,0.597,2.7,3.8,0.715,2.5,10.0,12.5,3.3,0.8,0.9,2.1,3.3,16.8
Alex Caruso,28,9,775,3.6,8.5,0.429,1.4,4.0,0.345,2.2,4.4,0.505,2.2,2.7,0.814,1.2,3.9,5.0,5.1,2.5,0.5,1.9,3.2,10.9
Willie Cauley-Stein,18,2,177,3.3,7.1,0.457,0.2,0.4,0.5,3.1,6.7,0.455,0.2,0.4,0.5,2.6,5.1,7.7,1.8,1.2,0.6,1.4,3.5,6.9
Ahmad Caver,1,0,1,36.0,36.0,1.0,0.0,0.0,,36.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
Justin Champagnie,30,0,252,4.1,8.6,0.483,1.3,3.1,0.409,2.9,5.4,0.526,1.3,1.3,1.0,5.3,3.9,9.1,1.3,1.0,0.6,1.0,4.6,10.9
Zylan Cheatham,1,0,5,0.0,21.6,0.0,0.0,14.4,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Chiozza,26,1,279,2.5,8.4,0.292,2.1,5.5,0.372,0.4,2.8,0.136,0.1,0.1,1.0,1.0,2.8,3.9,6.1,1.2,0.0,2.8,3.1,7.1
Marquese Chriss,22,0,251,6.9,14.1,0.49,1.0,2.9,0.35,5.9,11.2,0.526,1.7,2.7,0.632,2.9,8.3,11.2,1.7,1.6,1.4,2.4,7.0,16.5
Josh Christopher,46,2,765,6.2,13.2,0.47,1.7,5.0,0.336,4.5,8.2,0.552,2.3,3.0,0.766,1.5,2.9,4.4,3.8,1.8,0.3,3.2,2.4,16.4
Gary Clark,22,1,241,3.0,8.2,0.364,2.5,6.7,0.378,0.4,1.5,0.3,0.6,0.9,0.667,2.1,5.8,7.9,1.2,1.0,0.9,0.7,2.1,9.1
Brandon Clarke,41,1,766,8.4,12.8,0.654,0.2,0.8,0.222,8.2,11.9,0.685,2.5,3.6,0.711,3.7,6.3,10.1,2.7,0.9,2.1,0.9,3.2,19.5
Jordan Clarkson,52,1,1381,7.6,19.0,0.401,3.5,10.9,0.321,4.1,8.1,0.508,2.2,2.7,0.819,1.1,3.6,4.6,3.2,0.9,0.3,2.2,2.6,21.0
Nic Claxton,25,18,530,6.7,10.5,0.639,0.0,0.0,,6.7,10.5,0.639,2.0,3.6,0.566,3.7,5.8,9.5,1.4,0.8,1.9,1.2,3.8,15.5
Amir Coffey,43,20,949,4.6,9.9,0.464,2.4,5.9,0.397,2.2,4.0,0.562,2.4,2.7,0.887,0.8,4.2,5.0,2.6,0.8,0.4,0.8,2.1,13.9
John Collins,49,49,1543,7.5,13.9,0.541,1.4,3.7,0.395,6.1,10.3,0.593,3.0,3.7,0.794,2.1,7.1,9.2,2.2,0.7,1.3,1.3,3.5,19.5
Zach Collins,2,0,31,7.0,15.1,0.462,1.2,2.3,0.5,5.8,12.8,0.455,2.3,4.6,0.5,8.1,8.1,16.3,7.0,3.5,0.0,4.6,7.0,17.4
Darren Collison,3,0,37,1.9,6.8,0.286,0.0,2.9,0.0,1.9,3.9,0.5,0.0,0.0,,0.0,3.9,3.9,1.9,1.0,0.0,1.0,4.9,3.9
Mike Conley,49,49,1395,6.3,14.0,0.449,3.1,7.4,0.425,3.1,6.6,0.477,2.5,3.0,0.835,0.8,3.1,3.9,6.6,1.5,0.4,2.1,2.3,18.1
Pat Connaughton,53,18,1441,4.8,10.2,0.473,3.1,7.5,0.413,1.7,2.7,0.639,0.7,0.9,0.811,0.9,4.9,5.8,1.6,1.2,0.3,0.8,1.8,13.5
Tyler Cook,18,2,192,4.1,6.8,0.611,0.0,0.0,,4.1,6.8,0.611,3.7,5.8,0.645,3.0,6.6,9.6,0.6,0.7,0.7,1.3,4.5,12.0
Sharife Cooper,10,0,35,3.1,14.4,0.214,1.0,6.2,0.167,2.1,8.2,0.25,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,5.1,1.0,7.2
Petr Cornelie,13,0,38,4.7,14.2,0.333,0.9,7.6,0.125,3.8,6.6,0.571,2.8,3.8,0.75,6.6,6.6,13.3,2.8,0.9,0.9,3.8,6.6,13.3
