Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Derrick Rose,26,4,636,6.9,15.5,0.445,2.1,5.2,0.402,4.8,10.3,0.467,1.7,1.8,0.968,1.2,3.2,4.4,5.8,1.2,0.7,2.2,0.8,17.6
Terrence Ross,47,0,1150,5.5,13.6,0.405,1.9,6.3,0.308,3.6,7.3,0.487,3.0,3.5,0.874,0.5,3.4,3.9,3.0,0.8,0.4,2.0,1.7,16.0
Terry Rozier,47,47,1566,7.3,17.0,0.43,3.2,8.8,0.366,4.1,8.2,0.497,2.0,2.5,0.806,0.8,3.7,4.5,4.3,1.2,0.4,1.4,1.5,19.8
Ricky Rubio,34,8,970,5.5,15.3,0.363,2.2,6.5,0.339,3.3,8.8,0.38,3.3,3.8,0.854,0.6,4.7,5.2,8.4,1.8,0.3,3.3,2.8,16.5
D'Angelo Russell,41,41,1314,7.4,18.0,0.412,3.4,9.6,0.353,4.0,8.4,0.479,3.2,3.9,0.806,0.4,3.6,4.0,7.9,1.1,0.5,2.9,2.4,21.4
Domantas Sabonis,48,47,1665,7.4,12.8,0.578,0.8,2.4,0.321,6.6,10.4,0.636,4.2,5.6,0.739,3.5,9.1,12.6,5.2,1.0,0.5,3.2,3.2,19.7
Olivier Sarr,2,0,14,2.6,7.7,0.333,0.0,2.6,0.0,2.6,5.1,0.5,5.1,5.1,1.0,0.0,12.9,12.9,0.0,0.0,5.1,0.0,2.6,10.3
Tomáš Satoranský,32,3,481,2.4,8.0,0.299,0.4,2.3,0.161,2.0,5.7,0.355,1.4,1.9,0.76,1.3,3.4,4.8,5.7,1.0,0.1,1.7,2.5,6.6
Jordan Schakel,2,0,14,0.0,15.4,0.0,0.0,7.7,0.0,0.0,7.7,0.0,0.0,0.0,,5.1,2.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,20,1,235,4.1,8.4,0.491,1.7,5.1,0.333,2.5,3.4,0.727,0.5,0.8,0.6,0.9,5.7,6.6,2.3,0.3,0.5,1.7,4.3,10.4
Dennis Schröder,49,25,1433,6.5,14.7,0.44,1.7,4.8,0.349,4.8,9.8,0.485,3.1,3.6,0.848,0.7,3.4,4.1,5.2,1.0,0.1,2.6,2.9,17.7
Tre Scott,2,0,11,9.8,19.6,0.5,0.0,3.3,0.0,9.8,16.4,0.6,0.0,0.0,,3.3,3.3,6.5,0.0,3.3,3.3,0.0,6.5,19.6
Jay Scrubb,18,0,121,5.4,13.7,0.391,1.8,6.2,0.286,3.6,7.4,0.48,2.1,3.0,0.7,0.6,4.2,4.8,2.4,1.2,0.9,2.1,2.7,14.6
Wayne Selden,3,0,19,1.9,7.6,0.25,1.9,3.8,0.5,0.0,3.8,0.0,3.8,7.6,0.5,0.0,1.9,1.9,1.9,0.0,0.0,0.0,1.9,9.5
Alperen Şengün,46,4,858,6.0,12.4,0.481,0.6,2.4,0.259,5.3,9.9,0.536,4.4,6.3,0.707,3.3,5.8,9.1,4.7,1.6,1.8,3.9,5.6,17.0
Collin Sexton,11,11,316,7.7,17.2,0.45,1.3,5.1,0.244,6.5,12.1,0.538,3.3,4.4,0.744,1.5,2.6,4.1,2.6,1.1,0.0,3.5,2.8,20.1
Landry Shamet,45,7,891,4.3,11.7,0.37,2.9,8.1,0.353,1.5,3.6,0.409,1.9,2.2,0.852,0.4,3.0,3.5,2.9,0.8,0.2,1.0,2.1,13.4
Day'Ron Sharpe,26,8,326,7.8,13.9,0.563,0.1,0.4,0.25,7.7,13.5,0.574,2.0,3.3,0.6,7.4,7.0,14.4,1.3,0.8,1.7,3.0,6.0,17.8
Pascal Siakam,40,40,1516,7.8,16.0,0.487,1.0,2.9,0.355,6.8,13.1,0.517,3.8,5.2,0.736,2.0,6.4,8.4,4.9,1.2,0.8,2.6,3.3,20.5
Chris Silva,10,0,91,3.2,5.9,0.533,0.0,0.0,,3.2,5.9,0.533,4.0,4.7,0.833,5.1,9.1,14.2,2.8,0.0,0.4,3.2,7.9,10.3
Marko Simonovic,9,0,35,4.1,15.4,0.267,1.0,5.1,0.2,3.1,10.3,0.3,8.2,11.3,0.727,5.1,5.1,10.3,0.0,1.0,1.0,2.1,6.2,17.5
Anfernee Simons,50,23,1449,7.3,16.5,0.439,3.6,9.1,0.392,3.7,7.4,0.497,2.0,2.2,0.888,0.6,2.7,3.3,4.6,0.7,0.1,2.3,2.3,20.0
Jericho Sims,17,0,111,2.6,3.6,0.727,0.0,0.0,,2.6,3.6,0.727,1.0,1.3,0.75,3.6,5.2,8.8,0.3,1.0,2.3,0.6,2.6,6.2
Deividas Sirvydis,3,0,27,1.3,13.3,0.1,1.3,9.3,0.143,0.0,4.0,0.0,0.0,0.0,,0.0,8.0,8.0,1.3,4.0,1.3,0.0,5.3,4.0
Javonte Smart,13,1,160,2.5,9.7,0.256,0.9,4.1,0.222,1.6,5.6,0.28,1.1,1.4,0.833,0.9,3.4,4.3,3.2,0.9,0.5,2.0,2.5,7.0
Marcus Smart,47,47,1549,4.4,10.7,0.414,1.7,5.2,0.316,2.8,5.4,0.509,2.1,2.7,0.791,0.7,3.6,4.3,5.9,2.0,0.3,2.3,2.7,12.6
Dennis Smith Jr.,37,4,638,4.5,10.7,0.418,0.3,1.5,0.222,4.1,9.1,0.451,2.4,3.6,0.656,1.1,3.8,5.0,7.4,2.5,0.7,2.9,2.9,11.6
Ish Smith,37,1,511,5.1,13.0,0.395,0.7,1.8,0.4,4.4,11.3,0.394,0.8,1.3,0.632,0.8,3.2,4.0,6.9,1.4,0.7,2.5,2.4,11.8
Jalen Smith,29,4,382,5.9,12.9,0.46,0.8,3.7,0.231,5.1,9.2,0.551,3.8,4.9,0.769,5.2,7.9,13.1,0.6,0.6,1.7,2.1,4.9,16.5
Xavier Sneed,2,0,8,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,,4.5,4.5,9.0,0.0,0.0,0.0,0.0,9.0,0.0
Tony Snell,38,10,546,2.4,6.4,0.371,1.6,4.9,0.32,0.8,1.5,0.545,0.2,0.2,1.0,0.7,4.0,4.7,1.3,0.5,0.5,0.7,2.9,6.5
Jaden Springer,2,0,6,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,12.0,0.0,0.0,12.0,6.0,0.0,12.0
Cassius Stanley,9,1,155,4.4,10.7,0.413,0.9,3.9,0.235,3.5,6.7,0.517,2.3,2.3,1.0,1.2,3.3,4.4,0.9,1.2,0.5,1.4,3.9,12.1
Nik Stauskas,2,0,24,4.5,12.0,0.375,3.0,6.0,0.5,1.5,6.0,0.25,4.5,6.0,0.75,1.5,3.0,4.5,1.5,0.0,0.0,0.0,1.5,16.5
Lance Stephenson,26,1,445,6.3,14.0,0.451,1.1,4.4,0.259,5.2,9.6,0.538,2.7,3.4,0.786,0.8,5.3,6.1,7.8,0.8,0.1,3.3,4.0,16.4
Lamar Stevens,39,8,576,5.2,10.9,0.477,0.8,2.7,0.302,4.4,8.2,0.534,1.6,2.5,0.625,1.8,3.8,5.6,1.6,1.2,0.6,1.4,3.6,12.7
Isaiah Stewart,46,46,1194,4.8,9.3,0.518,0.1,0.7,0.125,4.7,8.6,0.551,1.3,2.0,0.657,4.2,7.6,11.8,1.5,0.5,1.6,1.8,4.0,11.1
Max Strus,43,9,1038,5.8,13.0,0.444,4.0,9.8,0.41,1.8,3.2,0.548,1.1,1.4,0.775,0.7,4.3,5.0,1.9,0.5,0.3,1.2,2.5,16.7
Jalen Suggs,35,32,979,5.5,15.1,0.366,1.3,5.4,0.245,4.2,9.7,0.433,3.4,4.4,0.773,0.8,3.9,4.7,5.4,1.5,0.5,4.0,3.9,15.7
Craig Sword,3,0,19,5.7,7.6,0.75,0.0,1.9,0.0,5.7,5.7,1.0,0.0,0.0,,0.0,0.0,0.0,1.9,7.6,0.0,1.9,13.3,11.4
Keifer Sykes,18,10,353,4.5,12.2,0.367,1.7,5.7,0.304,2.8,6.5,0.422,1.2,1.4,0.857,0.6,3.0,3.6,3.9,0.7,0.3,2.4,3.7,11.9
Jae'Sean Tate,52,51,1418,6.4,12.7,0.5,1.0,3.5,0.301,5.3,9.3,0.574,2.5,3.6,0.7,2.3,5.1,7.4,4.0,1.3,0.8,2.5,4.9,16.3
Jayson Tatum,52,52,1874,8.9,20.7,0.431,2.7,8.4,0.328,6.1,12.3,0.501,5.0,5.9,0.84,1.2,7.2,8.4,4.1,1.0,0.7,2.9,2.4,25.5
Terry Taylor,10,1,166,8.0,14.5,0.552,0.9,1.5,0.571,7.2,13.0,0.55,1.7,2.2,0.8,7.6,6.7,14.3,3.5,0.2,0.4,0.9,3.9,18.7
Garrett Temple,50,16,984,3.7,9.6,0.382,1.9,5.9,0.319,1.8,3.7,0.48,1.0,1.4,0.718,1.0,3.8,4.8,2.4,1.4,0.7,1.4,2.8,10.2
Emanuel Terry,3,0,18,0.0,10.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,,16.0,14.0,30.0,4.0,2.0,0.0,10.0,8.0,0.0
Tyrell Terry,2,0,3,12.0,12.0,1.0,0.0,0.0,,12.0,12.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0
Jon Teske,3,0,8,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,4.5,0.0
Daniel Theis,26,21,584,5.2,11.0,0.469,1.4,4.9,0.291,3.8,6.2,0.61,1.7,2.5,0.675,2.0,6.0,8.0,1.2,0.7,1.0,1.9,3.8,13.4
Brodric Thomas,7,0,28,1.3,11.6,0.111,0.0,7.7,0.0,1.3,3.9,0.333,2.6,2.6,1.0,2.6,3.9,6.4,6.4,0.0,0.0,3.9,1.3,5.1
Cam Thomas,43,1,785,6.6,15.1,0.438,1.4,5.5,0.258,5.2,9.6,0.541,2.2,2.8,0.783,0.4,4.4,4.8,2.3,1.0,0.3,1.7,1.7,16.8
Isaiah Thomas,5,1,114,4.7,14.8,0.319,1.6,7.9,0.2,3.2,6.9,0.455,2.5,3.5,0.727,0.3,2.2,2.5,3.2,0.0,0.6,1.6,3.8,13.6
Matt Thomas,32,0,417,4.3,10.4,0.413,2.8,7.1,0.402,1.5,3.4,0.436,1.1,1.5,0.765,0.3,3.6,3.9,1.6,0.6,0.2,0.5,1.5,12.6
Klay Thompson,12,12,287,9.0,21.2,0.426,4.3,11.3,0.378,4.8,9.9,0.481,2.8,2.8,1.0,0.8,4.3,5.0,4.5,1.0,0.8,2.4,2.1,25.1
Tristan Thompson,30,3,455,6.0,11.9,0.503,0.1,0.1,1.0,5.9,11.9,0.5,2.5,4.7,0.533,5.7,7.0,12.7,1.4,0.9,0.9,2.3,4.1,14.6
JT Thor,15,0,128,3.1,9.0,0.344,1.4,5.6,0.25,1.7,3.4,0.5,2.0,2.8,0.7,1.7,3.7,5.3,2.3,1.1,1.7,1.4,3.9,9.6
Matisse Thybulle,39,24,1034,3.2,6.3,0.503,1.0,3.3,0.316,2.1,3.0,0.709,0.5,0.7,0.684,0.7,2.4,3.1,1.5,2.4,1.5,0.9,3.0,7.8
Killian Tillie,32,3,427,3.5,9.8,0.362,2.2,6.5,0.338,1.3,3.3,0.41,0.4,0.7,0.625,1.7,3.0,4.6,1.7,1.9,1.2,0.9,4.5,9.7
Xavier Tillman Sr.,39,0,510,4.9,10.8,0.451,0.5,2.5,0.2,4.4,8.3,0.525,2.2,3.4,0.646,3.2,4.9,8.2,2.8,2.9,1.0,1.8,3.5,12.4
Isaiah Todd,9,0,35,5.1,15.4,0.333,4.1,10.3,0.4,1.0,5.1,0.2,2.1,4.1,0.5,2.1,7.2,9.3,1.0,2.1,2.1,1.0,1.0,16.5
Obi Toppin,50,2,775,6.8,13.0,0.523,0.9,3.9,0.238,5.9,9.1,0.646,2.9,3.9,0.75,2.1,6.3,8.5,2.1,0.7,1.0,1.7,3.2,17.4
Juan Toscano-Anderson,53,5,799,4.4,9.0,0.49,1.0,3.2,0.306,3.4,5.8,0.594,1.5,2.6,0.596,1.2,5.3,6.5,4.6,1.8,0.7,2.7,3.8,11.4
Karl-Anthony Towns,48,48,1648,9.1,17.4,0.521,2.2,5.5,0.406,6.8,11.9,0.574,5.1,6.2,0.817,2.9,7.1,10.0,4.2,1.0,1.2,3.5,3.8,25.4
Gary Trent Jr.,44,43,1533,6.8,15.9,0.431,3.3,8.1,0.401,3.6,7.7,0.463,1.9,2.3,0.818,0.4,2.4,2.8,2.0,2.0,0.3,1.0,2.2,18.8
P.J. Tucker,48,47,1359,4.0,8.0,0.503,1.8,3.9,0.469,2.2,4.1,0.535,0.9,1.2,0.723,1.8,5.1,6.9,2.7,1.1,0.3,1.2,3.0,10.8
Rayjon Tucker,3,0,29,1.2,2.5,0.5,1.2,2.5,0.5,0.0,0.0,,3.7,5.0,0.75,1.2,3.7,5.0,5.0,1.2,0.0,0.0,3.7,7.4
Myles Turner,42,42,1235,5.8,11.5,0.509,1.8,5.3,0.333,4.1,6.1,0.662,2.3,3.1,0.752,1.9,6.8,8.7,1.3,0.8,3.4,1.6,3.5,15.7
Jonas Valančiūnas,48,48,1503,8.0,15.0,0.529,1.1,2.7,0.402,6.9,12.4,0.556,3.8,4.6,0.814,3.9,9.5,13.4,2.9,0.6,1.0,2.9,3.8,20.8
Denzel Valentine,24,0,222,4.1,10.7,0.379,3.1,7.6,0.404,1.0,3.1,0.316,0.0,0.0,,1.5,5.4,6.8,1.8,1.3,0.0,1.9,3.2,11.2
Jarred Vanderbilt,50,43,1301,4.2,7.1,0.592,0.1,0.3,0.182,4.1,6.8,0.611,1.6,2.5,0.663,4.4,8.1,12.5,1.9,2.1,1.0,1.4,3.6,10.0
Fred VanVleet,48,48,1851,6.8,16.3,0.418,3.7,9.4,0.397,3.1,6.9,0.445,2.8,3.2,0.873,0.7,3.6,4.3,6.6,1.6,0.5,2.5,2.2,20.1
Devin Vassell,47,8,1195,6.2,14.3,0.432,2.5,7.2,0.345,3.7,7.1,0.521,1.3,1.6,0.792,0.8,5.3,6.1,2.2,1.4,0.9,1.1,3.0,16.1
Gabe Vincent,46,19,1099,5.1,11.9,0.431,2.9,7.4,0.392,2.2,4.4,0.496,1.0,1.3,0.8,0.6,2.5,3.0,5.0,1.5,0.4,2.4,3.7,14.2
Nikola Vučević,48,48,1618,7.9,17.0,0.466,1.7,5.1,0.329,6.2,11.8,0.525,1.2,1.7,0.727,2.2,10.3,12.4,3.9,1.0,1.3,1.9,2.6,18.7
Dean Wade,40,22,763,3.5,7.9,0.449,1.9,5.3,0.366,1.6,2.6,0.618,0.7,1.1,0.609,1.2,4.5,5.7,2.1,1.0,0.2,0.8,3.0,9.7
Franz Wagner,56,56,1795,6.7,14.5,0.464,1.4,3.9,0.359,5.3,10.6,0.503,2.7,3.2,0.85,1.2,4.0,5.2,3.3,1.0,0.5,1.8,2.4,17.6
Moritz Wagner,45,0,564,7.6,15.2,0.5,2.6,7.9,0.331,5.0,7.3,0.684,4.0,5.0,0.797,1.4,5.6,7.0,3.1,0.8,0.6,2.0,5.2,21.8
Ish Wainright,27,0,201,3.8,10.4,0.362,1.6,5.6,0.29,2.1,4.8,0.444,0.4,0.9,0.4,3.4,2.9,6.3,1.6,1.4,0.7,1.8,5.7,9.5
Kemba Walker,33,33,853,5.7,14.1,0.401,2.7,7.5,0.365,2.9,6.6,0.442,2.1,2.5,0.817,0.5,3.9,4.4,4.9,1.1,0.2,1.9,1.5,16.1
Lonnie Walker IV,50,6,1133,6.4,16.6,0.388,2.2,7.6,0.294,4.2,9.0,0.466,2.4,2.8,0.831,0.4,3.7,4.0,3.7,1.1,0.5,1.7,2.3,17.4
M.J. Walker,2,0,8,0.0,18.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,4.5,4.5,4.5,9.0,0.0,0.0,4.5,0.0
Derrick Walton,3,3,108,2.0,8.7,0.231,1.0,4.3,0.231,1.0,4.3,0.231,1.3,1.3,1.0,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3
Brad Wanamaker,23,2,320,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
Duane Washington Jr.,24,7,505,6.1,16.0,0.384,2.9,8.2,0.348,3.3,7.8,0.422,1.5,1.9,0.808,0.1,3.4,3.5,3.5,0.8,0.1,1.8,2.1,16.6
P.J. Washington,39,4,958,5.1,11.5,0.446,2.7,6.9,0.386,2.4,4.5,0.537,1.6,2.2,0.729,1.9,6.1,8.0,3.0,1.1,1.3,2.0,3.6,14.5
Yuta Watanabe,23,4,353,4.2,10.5,0.398,2.0,5.8,0.351,2.1,4.7,0.457,1.4,2.7,0.538,1.4,5.7,7.1,1.5,0.7,1.0,1.6,3.2,11.8
Tremont Waters,3,0,50,2.9,10.1,0.286,1.4,6.5,0.222,1.4,3.6,0.4,0.0,0.0,,0.0,2.9,2.9,5.0,3.6,0.0,2.9,2.9,7.2
Trendon Watford,30,0,364,5.5,9.5,0.583,0.0,1.0,0.0,5.5,8.5,0.651,2.1,3.1,0.677,2.4,6.2,8.6,2.7,0.9,1.4,2.0,4.8,13.2
Paul Watson,9,3,156,2.8,8.1,0.343,1.4,6.0,0.231,1.4,2.1,0.667,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2
Quinndary Weatherspoon,5,0,33,6.5,10.9,0.6,0.0,1.1,0.0,6.5,9.8,0.667,2.2,2.2,1.0,1.1,5.5,6.5,2.2,1.1,1.1,3.3,7.6,15.3
Russell Westbrook,55,55,1902,7.2,16.6,0.435,1.1,3.6,0.298,6.1,13.0,0.473,3.5,5.3,0.665,1.4,6.7,8.1,7.9,1.1,0.3,4.2,3.1,19.0
Coby White,35,12,961,6.1,14.0,0.437,2.7,7.5,0.362,3.4,6.6,0.523,2.0,2.4,0.841,0.4,3.2,3.6,3.4,0.6,0.4,1.6,2.9,17.0
Derrick White,49,48,1486,5.9,13.8,0.426,2.0,6.3,0.314,3.9,7.6,0.519,3.4,3.9,0.869,0.6,3.6,4.2,6.6,1.2,1.0,2.1,2.8,17.1
Hassan Whiteside,43,7,786,6.7,10.7,0.627,0.0,0.0,,6.7,10.7,0.627,3.4,5.2,0.655,4.6,10.0,14.6,0.8,0.6,2.9,1.8,5.9,16.8
Joe Wieskamp,14,0,88,5.3,11.0,0.481,3.3,7.4,0.444,2.0,3.7,0.556,1.2,2.9,0.429,0.8,2.0,2.9,1.6,0.8,0.8,0.4,2.0,15.1
Aaron Wiggins,31,18,680,4.5,9.3,0.486,1.4,4.2,0.329,3.1,5.1,0.615,1.7,2.5,0.702,1.5,4.2,5.8,1.7,1.2,0.3,1.4,3.0,12.1
Andrew Wiggins,50,50,1580,7.7,16.0,0.484,2.6,6.3,0.415,5.1,9.7,0.528,2.5,3.7,0.669,1.1,3.7,4.8,2.4,1.1,0.8,1.7,2.2,20.5
Lindell Wigginton,6,0,25,8.6,8.6,1.0,2.9,2.9,1.0,5.8,5.8,1.0,0.0,0.0,,0.0,1.4,1.4,4.3,2.9,1.4,1.4,4.3,20.2
Brandon Williams,2,0,12,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,12.0,21.0,0.571,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,24.0
Grant Williams,51,13,1165,3.9,8.0,0.483,2.3,5.4,0.429,1.5,2.6,0.595,1.3,1.5,0.896,1.2,3.9,5.1,1.7,0.8,1.1,1.2,3.4,11.4
Kenrich Williams,46,0,995,4.8,10.8,0.448,1.4,4.1,0.351,3.4,6.7,0.508,0.8,1.6,0.523,2.6,4.7,7.3,3.6,1.5,0.3,1.7,2.7,12.0
Lou Williams,37,0,541,6.0,15.0,0.398,1.9,5.3,0.354,4.1,9.8,0.422,3.2,3.6,0.889,0.7,3.1,3.9,4.9,1.3,0.2,1.9,2.4,17.0
Patrick Williams,5,5,125,3.7,6.6,0.565,0.9,1.7,0.5,2.9,4.9,0.588,1.2,1.2,1.0,0.3,2.9,3.2,0.9,0.9,0.6,0.6,2.6,9.5
Robert Williams,45,45,1335,5.3,7.2,0.737,0.0,0.0,0.0,5.3,7.1,0.74,1.4,1.9,0.708,4.7,6.8,11.5,2.4,1.1,2.7,1.4,2.5,11.9
Ziaire Williams,36,15,775,4.8,11.1,0.433,1.8,6.5,0.281,3.0,4.7,0.644,0.9,1.0,0.864,0.5,2.6,3.1,1.5,0.9,0.3,0.9,3.3,12.4
D.J. Wilson,3,1,48,6.0,8.2,0.727,0.0,1.5,0.0,6.0,6.8,0.889,6.0,7.5,0.8,0.7,9.7,10.5,3.0,3.7,0.7,1.5,3.7,18.0
Dylan Windler,37,0,344,3.5,8.1,0.429,2.2,5.7,0.389,1.3,2.4,0.522,0.7,0.9,0.778,1.5,5.0,6.5,2.6,0.9,0.2,1.4,3.9,9.8
Justise Winslow,40,3,565,4.8,10.8,0.45,0.4,2.6,0.171,4.4,8.2,0.539,1.7,2.7,0.605,2.1,7.8,9.9,3.8,1.7,1.3,2.7,3.2,11.8
Cassius Winston,2,0,7,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,,10.3,10.3,1.0,0.0,0.0,0.0,10.3,0.0,0.0,5.1,0.0,10.3
Christian Wood,51,50,1584,7.5,15.6,0.483,2.2,5.8,0.374,5.4,9.8,0.546,3.4,5.5,0.617,2.0,9.9,11.9,2.5,0.9,1.1,2.2,2.9,20.6
Robert Woodard II,12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,10.3,0.083,1.7,1.7,1.0,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6.0
Delon Wright,49,5,893,3.1,7.0,0.439,1.0,2.7,0.388,2.0,4.3,0.472,1.3,1.6,0.825,1.3,4.0,5.3,5.0,2.0,0.4,1.3,1.5,8.5
McKinley Wright IV,3,0,9,8.0,12.0,0.667,4.0,8.0,0.5,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,20.0
Moses Wright,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,26,1,370,7.2,12.5,0.578,0.0,0.5,0.0,7.2,12.0,0.602,1.0,2.1,0.455,3.9,5.2,9.0,5.7,2.2,0.7,2.9,3.7,15.4
Trae Young,49,49,1692,9.8,21.5,0.458,3.1,8.1,0.379,6.8,13.4,0.506,6.3,7.0,0.894,0.6,3.4,4.1,9.7,1.0,0.1,4.3,1.7,29.0
Omer Yurtseven,39,10,558,6.5,12.5,0.523,0.1,0.5,0.143,6.5,12.0,0.538,2.1,3.2,0.64,4.3,10.8,15.1,2.7,1.0,1.2,2.2,4.4,15.2
Cody Zeller,27,0,355,5.2,9.1,0.567,0.0,0.4,0.0,5.2,8.7,0.593,3.9,5.0,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
Ivica Zubac,50,50,1197,5.4,8.3,0.649,0.0,0.0,,5.4,8.3,0.649,3.4,4.7,0.735,3.9,8.1,12.0,1.9,0.7,1.5,2.1,3.7,14.2
