Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Otto Porter Jr.,PF,28,GSW,45,13,972,145,305,0.475,69,173,0.399,76,132,0.576,0.589,24,33,0.727,43,187,230,71,50,22,23,60,383
Bobby Portis,C,26,MIL,47,42,1351,285,583,0.489,94,220,0.427,191,363,0.526,0.569,67,87,0.77,122,304,426,61,34,39,70,125,731
Kristaps Porziņģis,PF,26,DAL,34,34,1002,229,508,0.451,49,173,0.283,180,335,0.537,0.499,147,170,0.865,64,197,261,69,25,59,53,88,654
Micah Potter,C,23,DET,3,0,31,5,11,0.455,0,2,0.0,5,9,0.556,0.455,2,2,1.0,4,5,9,0,1,1,1,4,12
Dwight Powell,C,30,DAL,55,44,1116,152,236,0.644,12,31,0.387,140,205,0.683,0.669,89,119,0.748,108,134,242,60,28,22,42,135,405
Myles Powell,PG,24,PHI,11,0,52,5,17,0.294,1,6,0.167,4,11,0.364,0.324,2,2,1.0,1,5,6,3,1,0,3,8,13
Norman Powell,SF-SG,28,TOT,42,40,1380,262,570,0.46,98,240,0.408,164,330,0.497,0.546,168,208,0.808,18,116,134,88,41,19,65,98,790
Joshua Primo,SG,19,SAS,26,4,400,44,121,0.364,20,63,0.317,24,58,0.414,0.446,14,18,0.778,16,27,43,36,9,14,27,27,122
Taurean Prince,PF,27,MIN,44,8,685,91,200,0.455,48,122,0.393,43,78,0.551,0.575,28,37,0.757,18,86,104,39,26,10,31,64,258
Payton Pritchard,SG,24,BOS,45,2,548,79,205,0.385,46,124,0.371,33,81,0.407,0.498,14,14,1.0,12,58,70,75,8,4,29,39,218
Trevelin Queen,SG,24,HOU,8,0,69,13,29,0.448,8,22,0.364,5,7,0.714,0.586,3,3,1.0,5,9,14,3,5,0,7,6,37
Neemias Queta,C,22,SAC,10,0,56,9,23,0.391,0,0,,9,23,0.391,0.391,3,5,0.6,11,8,19,4,1,4,4,11,21
Immanuel Quickley,PG,22,NYK,51,2,1108,161,439,0.367,83,251,0.331,78,188,0.415,0.461,83,91,0.912,17,102,119,154,32,3,64,115,488
Jahmi'us Ramsey,SG,20,SAC,19,0,134,24,58,0.414,5,18,0.278,19,40,0.475,0.457,7,14,0.5,4,9,13,7,1,1,5,10,60
Julius Randle,PF,27,NYK,53,53,1874,367,874,0.42,88,284,0.31,279,590,0.473,0.47,191,254,0.752,99,428,527,271,42,31,184,150,1013
Austin Reaves,SG,23,LAL,37,0,780,74,157,0.471,29,90,0.322,45,67,0.672,0.564,42,51,0.824,21,74,95,46,11,8,20,51,219
Cam Reddish,SF,22,TOT,39,7,847,142,359,0.396,59,162,0.364,83,197,0.421,0.478,83,91,0.912,21,70,91,38,37,12,48,46,426
Davon Reed,SG,26,DEN,28,3,399,45,95,0.474,23,53,0.434,22,42,0.524,0.595,4,5,0.8,10,63,73,29,17,3,8,40,117
Paul Reed,C,22,PHI,21,2,185,20,43,0.465,0,4,0.0,20,39,0.513,0.465,3,8,0.375,20,27,47,10,12,10,7,28,43
Naz Reid,C,22,MIN,52,5,830,156,334,0.467,40,116,0.345,116,218,0.532,0.527,75,103,0.728,76,126,202,44,23,52,56,112,427
Nick Richards,C,24,CHO,40,5,340,55,81,0.679,0,0,,55,81,0.679,0.679,30,41,0.732,30,50,80,13,9,19,20,48,140
Josh Richardson,SG,28,BOS,44,0,1087,152,343,0.443,62,156,0.397,90,187,0.481,0.534,61,71,0.859,26,99,125,66,34,23,39,82,427
Austin Rivers,SG,29,DEN,40,13,845,89,219,0.406,51,145,0.352,38,74,0.514,0.523,19,27,0.704,13,51,64,43,28,4,32,63,248
Duncan Robinson,SG,27,MIA,52,47,1425,205,520,0.394,158,437,0.362,47,83,0.566,0.546,37,45,0.822,19,139,158,78,33,11,45,137,605
Justin Robinson,PG,24,TOT,25,0,304,28,93,0.301,18,61,0.295,10,32,0.313,0.398,4,8,0.5,4,17,21,32,9,1,17,27,78
Mitchell Robinson,C,23,NYK,49,40,1243,178,228,0.781,0,0,,178,228,0.781,0.781,65,126,0.516,186,242,428,23,29,78,38,130,421
Jeremiah Robinson-Earl,C,21,OKC,44,36,1014,117,292,0.401,50,150,0.333,67,142,0.472,0.486,30,42,0.714,71,183,254,44,27,15,35,74,314
Isaiah Roby,PF,23,OKC,18,5,246,47,84,0.56,11,22,0.5,36,62,0.581,0.625,16,21,0.762,20,39,59,13,4,6,15,26,121
Rajon Rondo,PG,35,TOT,29,0,515,48,140,0.343,21,67,0.313,27,73,0.37,0.418,14,17,0.824,13,71,84,119,22,5,54,44,131
Derrick Rose,PG,33,NYK,26,4,636,122,274,0.445,37,92,0.402,85,182,0.467,0.513,30,31,0.968,21,57,78,103,22,12,39,15,311
Terrence Ross,SG,30,ORL,47,0,1150,176,435,0.405,62,201,0.308,114,234,0.487,0.476,97,111,0.874,15,108,123,95,24,12,65,55,511
Terry Rozier,SG,27,CHO,47,47,1566,318,740,0.43,140,382,0.366,178,358,0.497,0.524,87,108,0.806,33,163,196,189,52,16,60,67,863
Ricky Rubio,PG,31,CLE,34,8,970,149,411,0.363,59,174,0.339,90,237,0.38,0.434,88,103,0.854,15,126,141,225,49,7,90,75,445
D'Angelo Russell,PG,25,MIN,41,41,1314,270,656,0.412,124,351,0.353,146,305,0.479,0.506,116,144,0.806,15,132,147,288,39,20,107,88,780
Domantas Sabonis,C-PF,25,TOT,48,47,1665,341,590,0.578,35,109,0.321,306,481,0.636,0.608,193,261,0.739,160,421,581,241,47,22,147,150,910
Olivier Sarr,C,22,OKC,2,0,14,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,2,1.0,0,5,5,0,0,2,0,1,4
Tomáš Satoranský,SG,30,NOP,32,3,481,32,107,0.299,5,31,0.161,27,76,0.355,0.322,19,25,0.76,18,46,64,76,14,1,23,33,88
Jordan Schakel,SG,23,WAS,2,0,14,0,6,0.0,0,3,0.0,0,3,0.0,0.0,0,0,,2,1,3,0,0,0,0,0,0
Admiral Schofield,SF,24,ORL,20,1,235,27,55,0.491,11,33,0.333,16,22,0.727,0.591,3,5,0.6,6,37,43,15,2,3,11,28,68
Dennis Schröder,SG,28,BOS,49,25,1433,257,584,0.44,67,192,0.349,190,392,0.485,0.497,123,145,0.848,28,136,164,208,41,5,104,116,704
Tre Scott,SF,25,CLE,2,0,11,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,1,1,2,0,1,1,0,2,6
Jay Scrubb,SG,21,LAC,18,0,121,18,46,0.391,6,21,0.286,12,25,0.48,0.457,7,10,0.7,2,14,16,8,4,3,7,9,49
Wayne Selden,SG,27,NYK,3,0,19,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,4,0.5,0,1,1,1,0,0,0,1,5
Alperen Şengün,C,19,HOU,46,4,858,142,295,0.481,15,58,0.259,127,237,0.536,0.507,106,150,0.707,78,138,216,112,37,44,94,133,405
Collin Sexton,SG,23,CLE,11,11,316,68,151,0.45,11,45,0.244,57,106,0.538,0.487,29,39,0.744,13,23,36,23,10,0,31,25,176
Landry Shamet,SG,24,PHO,45,7,891,107,289,0.37,71,201,0.353,36,88,0.409,0.493,46,54,0.852,11,75,86,71,21,4,24,52,331
Day'Ron Sharpe,PF,20,BRK,26,8,326,71,126,0.563,1,4,0.25,70,122,0.574,0.567,18,30,0.6,67,63,130,12,7,15,27,54,161
Pascal Siakam,PF,27,TOR,40,40,1516,329,675,0.487,44,124,0.355,285,551,0.517,0.52,162,220,0.736,86,268,354,208,52,32,110,138,864
Chris Silva,PF,25,TOT,10,0,91,8,15,0.533,0,0,,8,15,0.533,0.533,10,12,0.833,13,23,36,7,0,1,8,20,26
Marko Simonovic,C,22,CHI,9,0,35,4,15,0.267,1,5,0.2,3,10,0.3,0.3,8,11,0.727,5,5,10,0,1,1,2,6,17
Anfernee Simons,SG,22,POR,50,23,1449,292,665,0.439,144,367,0.392,148,298,0.497,0.547,79,89,0.888,23,110,133,185,27,6,94,94,807
Jericho Sims,PF,23,NYK,17,0,111,8,11,0.727,0,0,,8,11,0.727,0.727,3,4,0.75,11,16,27,1,3,7,2,8,19
Deividas Sirvydis,SG,21,DET,3,0,27,1,10,0.1,1,7,0.143,0,3,0.0,0.15,0,0,,0,6,6,1,3,1,0,4,3
Javonte Smart,PG,22,MIL,13,1,160,11,43,0.256,4,18,0.222,7,25,0.28,0.302,5,6,0.833,4,15,19,14,4,2,9,11,31
Marcus Smart,PG,27,BOS,47,47,1549,190,459,0.414,71,225,0.316,119,234,0.509,0.491,91,115,0.791,29,157,186,252,86,14,97,116,542
Dennis Smith Jr.,PG,24,POR,37,4,638,79,189,0.418,6,27,0.222,73,162,0.451,0.434,42,64,0.656,20,68,88,132,45,12,51,52,206
Ish Smith,PG,33,CHO,37,1,511,73,185,0.395,10,25,0.4,63,160,0.394,0.422,12,19,0.632,11,46,57,98,20,10,36,34,168
Jalen Smith,PF,21,PHO,29,4,382,63,137,0.46,9,39,0.231,54,98,0.551,0.493,40,52,0.769,55,84,139,6,6,18,22,52,175
Xavier Sneed,SF,24,MEM,2,0,8,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,1,1,2,0,0,0,0,2,0
Tony Snell,SG,30,POR,38,10,546,36,97,0.371,24,75,0.32,12,22,0.545,0.495,3,3,1.0,11,61,72,20,8,7,11,44,99
Jaden Springer,SG,19,PHI,2,0,6,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,0,0,2,1,0,2
Cassius Stanley,SG,22,DET,9,1,155,19,46,0.413,4,17,0.235,15,29,0.517,0.457,10,10,1.0,5,14,19,4,5,2,6,17,52
Nik Stauskas,SG,28,MIA,2,0,24,3,8,0.375,2,4,0.5,1,4,0.25,0.5,3,4,0.75,1,2,3,1,0,0,0,1,11
Lance Stephenson,SG-SF,31,TOT,26,1,445,78,173,0.451,14,54,0.259,64,119,0.538,0.491,33,42,0.786,10,66,76,96,10,1,41,49,203
Lamar Stevens,PF,24,CLE,39,8,576,83,174,0.477,13,43,0.302,70,131,0.534,0.514,25,40,0.625,29,61,90,25,20,9,22,58,204
Isaiah Stewart,C,20,DET,46,46,1194,160,309,0.518,3,24,0.125,157,285,0.551,0.523,44,67,0.657,139,253,392,50,15,52,60,134,367
Max Strus,SF,25,MIA,43,9,1038,167,376,0.444,116,283,0.41,51,93,0.548,0.598,31,40,0.775,19,124,143,56,14,9,34,73,481
Jalen Suggs,PG,20,ORL,35,32,979,150,410,0.366,36,147,0.245,114,263,0.433,0.41,92,119,0.773,22,107,129,146,42,14,110,105,428
Craig Sword,SG,28,WAS,3,0,19,3,4,0.75,0,1,0.0,3,3,1.0,0.75,0,0,,0,0,0,1,4,0,1,7,6
Keifer Sykes,PG,28,IND,18,10,353,44,120,0.367,17,56,0.304,27,64,0.422,0.438,12,14,0.857,6,29,35,38,7,3,24,36,117
Jae'Sean Tate,SF,26,HOU,52,51,1418,251,502,0.5,41,136,0.301,210,366,0.574,0.541,98,140,0.7,90,201,291,159,52,31,98,192,641
Jayson Tatum,SF,23,BOS,52,52,1874,463,1075,0.431,143,436,0.328,320,639,0.501,0.497,258,307,0.84,61,376,437,214,50,36,151,123,1327
Terry Taylor,SG,22,IND,10,1,166,37,67,0.552,4,7,0.571,33,60,0.55,0.582,8,10,0.8,35,31,66,16,1,2,4,18,86
Garrett Temple,SG,35,NOP,50,16,984,100,262,0.382,51,160,0.319,49,102,0.48,0.479,28,39,0.718,27,105,132,65,39,20,38,77,279
Emanuel Terry,PF,25,PHO,3,0,18,0,5,0.0,0,0,,0,5,0.0,0.0,0,0,,8,7,15,2,1,0,5,4,0
Tyrell Terry,PG,21,MEM,2,0,3,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,1,2
Jon Teske,C,24,MEM,3,0,8,0,1,0.0,0,0,,0,1,0.0,0.0,0,2,0.0,0,2,2,1,1,0,0,1,0
Daniel Theis,C,29,HOU,26,21,584,84,179,0.469,23,79,0.291,61,100,0.61,0.534,27,40,0.675,32,98,130,20,11,17,31,62,218
Brodric Thomas,SG,25,BOS,7,0,28,1,9,0.111,0,6,0.0,1,3,0.333,0.111,2,2,1.0,2,3,5,5,0,0,3,1,4
Cam Thomas,SG,20,BRK,43,1,785,144,329,0.438,31,120,0.258,113,209,0.541,0.485,47,60,0.783,8,96,104,51,22,7,36,36,366
Isaiah Thomas,PG,32,TOT,5,1,114,15,47,0.319,5,25,0.2,10,22,0.455,0.372,8,11,0.727,1,7,8,10,0,2,5,12,43
Matt Thomas,SG,27,CHI,32,0,417,50,121,0.413,33,82,0.402,17,39,0.436,0.55,13,17,0.765,3,42,45,19,7,2,6,17,146
Klay Thompson,SG,31,GSW,12,12,287,72,169,0.426,34,90,0.378,38,79,0.481,0.527,22,22,1.0,6,34,40,36,8,6,19,17,200
Tristan Thompson,PF,30,SAC,30,3,455,76,151,0.503,1,1,1.0,75,150,0.5,0.507,32,60,0.533,72,89,161,18,11,12,29,52,185
JT Thor,PF,19,CHO,15,0,128,11,32,0.344,5,20,0.25,6,12,0.5,0.422,7,10,0.7,6,13,19,8,4,6,5,14,34
Matisse Thybulle,SG,24,PHI,39,24,1034,91,181,0.503,30,95,0.316,61,86,0.709,0.586,13,19,0.684,21,69,90,44,68,44,25,87,225
Killian Tillie,C,23,MEM,32,3,427,42,116,0.362,26,77,0.338,16,39,0.41,0.474,5,8,0.625,20,35,55,20,23,14,11,53,115
Xavier Tillman Sr.,PF,23,MEM,39,0,510,69,153,0.451,7,35,0.2,62,118,0.525,0.474,31,48,0.646,46,70,116,40,41,14,26,49,176
Isaiah Todd,PF,20,WAS,9,0,35,5,15,0.333,4,10,0.4,1,5,0.2,0.467,2,4,0.5,2,7,9,1,2,2,1,1,16
Obi Toppin,PF,23,NYK,50,2,775,146,279,0.523,20,84,0.238,126,195,0.646,0.559,63,84,0.75,46,136,182,46,14,22,37,68,375
Juan Toscano-Anderson,SF,28,GSW,53,5,799,98,200,0.49,22,72,0.306,76,128,0.594,0.545,34,57,0.596,26,118,144,103,39,15,59,85,252
Karl-Anthony Towns,C,26,MIN,48,48,1648,415,796,0.521,102,251,0.406,313,545,0.574,0.585,232,284,0.817,135,323,458,190,48,56,158,173,1164
Gary Trent Jr.,SG,23,TOR,44,43,1533,291,675,0.431,139,347,0.401,152,328,0.463,0.534,81,99,0.818,15,104,119,86,84,14,42,94,802
P.J. Tucker,PF,36,MIA,48,47,1359,152,302,0.503,69,147,0.469,83,155,0.535,0.618,34,47,0.723,68,193,261,103,41,11,47,112,407
Rayjon Tucker,SG,24,DEN,3,0,29,1,2,0.5,1,2,0.5,0,0,,0.75,3,4,0.75,1,3,4,4,1,0,0,3,6
Myles Turner,C,25,IND,42,42,1235,200,393,0.509,61,183,0.333,139,210,0.662,0.587,79,105,0.752,65,232,297,44,28,118,54,119,540
Jonas Valančiūnas,C,29,NOP,48,48,1503,332,628,0.529,45,112,0.402,287,516,0.556,0.564,158,194,0.814,161,397,558,123,24,43,121,158,867
Denzel Valentine,SG,28,TOT,24,0,222,25,66,0.379,19,47,0.404,6,19,0.316,0.523,0,0,,9,33,42,11,8,0,12,20,69
Jarred Vanderbilt,PF,22,MIN,50,43,1301,151,255,0.592,2,11,0.182,149,244,0.611,0.596,59,89,0.663,158,292,450,68,77,37,51,130,363
Fred VanVleet,PG,27,TOR,48,48,1851,350,838,0.418,191,481,0.397,159,357,0.445,0.532,144,165,0.873,37,183,220,341,80,25,131,115,1035
Devin Vassell,SF,21,SAS,47,8,1195,205,474,0.432,82,238,0.345,123,236,0.521,0.519,42,53,0.792,26,175,201,72,46,29,35,98,534
Gabe Vincent,PG,25,MIA,46,19,1099,156,362,0.431,89,227,0.392,67,135,0.496,0.554,32,40,0.8,18,75,93,153,46,11,74,114,433
Nikola Vučević,C,31,CHI,48,48,1618,355,762,0.466,76,231,0.329,279,531,0.525,0.516,56,77,0.727,98,461,559,174,46,58,87,119,842
Dean Wade,PF,25,CLE,40,22,763,75,167,0.449,41,112,0.366,34,55,0.618,0.572,14,23,0.609,25,95,120,45,22,5,16,63,205
Franz Wagner,SF,20,ORL,56,56,1795,335,722,0.464,70,195,0.359,265,527,0.503,0.512,136,160,0.85,61,198,259,166,49,26,91,121,876
Moritz Wagner,C,24,ORL,45,0,564,119,238,0.5,41,124,0.331,78,114,0.684,0.586,63,79,0.797,22,88,110,49,13,10,32,82,342
Ish Wainright,PF,27,PHO,27,0,201,21,58,0.362,9,31,0.29,12,27,0.444,0.44,2,5,0.4,19,16,35,9,8,4,10,32,53
Kemba Walker,PG,31,NYK,33,33,853,134,334,0.401,65,178,0.365,69,156,0.442,0.499,49,60,0.817,12,92,104,115,25,5,45,36,382
Lonnie Walker IV,SG,23,SAS,50,6,1133,202,521,0.388,70,238,0.294,132,283,0.466,0.455,74,89,0.831,12,115,127,117,34,16,53,71,548
M.J. Walker,SG,23,PHO,2,0,8,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,1,1,1,2,0,0,1,0
Derrick Walton,PG,26,DET,3,3,108,6,26,0.231,3,13,0.231,3,13,0.231,0.288,4,4,1.0,2,8,10,21,7,4,11,8,19
Brad Wanamaker,PG,32,TOT,23,2,320,28,77,0.364,4,17,0.235,24,60,0.4,0.39,23,25,0.92,6,33,39,55,7,6,23,45,83
Duane Washington Jr.,PG,21,IND,24,7,505,86,224,0.384,40,115,0.348,46,109,0.422,0.473,21,26,0.808,2,47,49,49,11,1,25,30,233
P.J. Washington,PF,23,CHO,39,4,958,136,305,0.446,71,184,0.386,65,121,0.537,0.562,43,59,0.729,51,162,213,79,28,35,52,96,386
Yuta Watanabe,SF,27,TOR,23,4,353,41,103,0.398,20,57,0.351,21,46,0.457,0.495,14,26,0.538,14,56,70,15,7,10,16,31,116
Tremont Waters,PG,24,TOT,3,0,50,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,,0,4,4,7,5,0,4,4,10
Trendon Watford,SF,21,POR,30,0,364,56,96,0.583,0,10,0.0,56,86,0.651,0.583,21,31,0.677,24,63,87,27,9,14,20,49,133
Paul Watson,SF,27,OKC,9,3,156,12,35,0.343,6,26,0.231,6,9,0.667,0.429,1,2,0.5,3,24,27,8,3,3,4,10,31
Quinndary Weatherspoon,SG,25,GSW,5,0,33,6,10,0.6,0,1,0.0,6,9,0.667,0.6,2,2,1.0,1,5,6,2,1,1,3,7,14
Russell Westbrook,PG,33,LAL,55,55,1902,381,876,0.435,57,191,0.298,324,685,0.473,0.467,187,281,0.665,75,355,430,419,58,15,224,164,1006
Coby White,PG,21,CHI,35,12,961,164,375,0.437,72,199,0.362,92,176,0.523,0.533,53,63,0.841,10,86,96,92,16,10,43,78,453
Derrick White,SG,27,SAS,49,48,1486,243,570,0.426,81,258,0.314,162,312,0.519,0.497,139,160,0.869,25,148,173,274,49,42,87,116,706
Hassan Whiteside,C,32,UTA,43,7,786,146,233,0.627,0,0,,146,233,0.627,0.627,74,113,0.655,101,218,319,17,13,64,39,128,366
Joe Wieskamp,SG,22,SAS,14,0,88,13,27,0.481,8,18,0.444,5,9,0.556,0.63,3,7,0.429,2,5,7,4,2,2,1,5,37
Aaron Wiggins,SG,23,OKC,31,18,680,85,175,0.486,26,79,0.329,59,96,0.615,0.56,33,47,0.702,29,80,109,33,23,6,27,57,229
Andrew Wiggins,SF,26,GSW,50,50,1580,339,701,0.484,114,275,0.415,225,426,0.528,0.565,109,163,0.669,50,162,212,106,50,34,76,96,901
Lindell Wigginton,PG,23,MIL,6,0,25,6,6,1.0,2,2,1.0,4,4,1.0,1.167,0,0,,0,1,1,3,2,1,1,3,14
Brandon Williams,PG,22,POR,2,0,12,2,3,0.667,0,0,,2,3,0.667,0.667,4,7,0.571,0,2,2,2,0,0,0,0,8
Grant Williams,PF,23,BOS,51,13,1165,125,259,0.483,75,175,0.429,50,84,0.595,0.627,43,48,0.896,40,126,166,56,26,36,39,110,368
Kenrich Williams,SF,27,OKC,46,0,995,134,299,0.448,40,114,0.351,94,185,0.508,0.515,23,44,0.523,71,131,202,100,41,9,46,74,331
Lou Williams,PG,35,ATL,37,0,541,90,226,0.398,28,79,0.354,62,147,0.422,0.46,48,54,0.889,11,47,58,73,19,3,29,36,256
Patrick Williams,PF,20,CHI,5,5,125,13,23,0.565,3,6,0.5,10,17,0.588,0.63,4,4,1.0,1,10,11,3,3,2,2,9,33
Robert Williams,C,24,BOS,45,45,1335,196,266,0.737,0,1,0.0,196,265,0.74,0.737,51,72,0.708,173,254,427,90,41,99,52,93,443
Ziaire Williams,SF,20,MEM,36,15,775,104,240,0.433,39,139,0.281,65,101,0.644,0.515,19,22,0.864,11,55,66,33,19,7,20,70,266
D.J. Wilson,PF,25,TOR,3,1,48,8,11,0.727,0,2,0.0,8,9,0.889,0.727,8,10,0.8,1,13,14,4,5,1,2,5,24
Dylan Windler,SF,25,CLE,37,0,344,33,77,0.429,21,54,0.389,12,23,0.522,0.565,7,9,0.778,14,48,62,25,9,2,13,37,94
Justise Winslow,SF,25,TOT,40,3,565,76,169,0.45,7,41,0.171,69,128,0.539,0.47,26,43,0.605,33,122,155,59,27,21,42,50,185
Cassius Winston,PG,23,WAS,2,0,7,0,2,0.0,0,2,0.0,0,0,,0.0,2,2,1.0,0,0,0,2,0,0,1,0,2
Christian Wood,C,26,HOU,51,50,1584,331,686,0.483,95,254,0.374,236,432,0.546,0.552,148,240,0.617,88,435,523,109,39,48,97,126,905
Robert Woodard II,SF,22,SAC,12,0,42,2,16,0.125,1,4,0.25,1,12,0.083,0.156,2,2,1.0,5,6,11,3,1,1,1,3,7
Delon Wright,SG,29,ATL,49,5,893,76,173,0.439,26,67,0.388,50,106,0.472,0.514,33,40,0.825,32,99,131,125,50,10,33,36,211
McKinley Wright IV,PG,23,MIN,3,0,9,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,0,0,1,0,0,1,1,5
Moses Wright,PF,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Thaddeus Young,PF,33,SAS,26,1,370,74,128,0.578,0,5,0.0,74,123,0.602,0.578,10,22,0.455,40,53,93,59,23,7,30,38,158
Trae Young,PG,23,ATL,49,49,1692,462,1009,0.458,144,380,0.379,318,629,0.506,0.529,296,331,0.894,30,162,192,457,48,5,203,79,1364
Omer Yurtseven,C,23,MIA,39,10,558,101,193,0.523,1,7,0.143,100,186,0.538,0.526,32,50,0.64,67,167,234,42,15,18,34,68,235
Cody Zeller,C,29,POR,27,0,355,51,90,0.567,0,4,0.0,51,86,0.593,0.567,38,49,0.776,50,75,125,22,8,6,19,56,140
Ivica Zubac,C,24,LAC,50,50,1197,179,276,0.649,0,0,,179,276,0.649,0.649,114,155,0.735,130,268,398,63,22,51,69,124,472
