playerid,name,twit_followers_count,2021-22,followers per dollar,br_name,br_url
2546,Carmelo Anthony,9266281,2641691,3.507708130890403,Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html
2730,Dwight Howard,6383134,2641691,2.4163060706191604,Dwight Howard,https://www.basketball-reference.com/players/h/howardw01.html
2544,LeBron James,50745912,41180544,1.232278815937934,LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
202326,DeMarcus Cousins,1250353,1203925,1.0385638640280748,DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html
2738,Andre Iguodala,1326440,2641691,0.5021177722905518,Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html
201142,Kevin Durant,19527561,40918900,0.4772259518217743,Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
203083,Andre Drummond,846677,2401537,0.3525563004026171,Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html
201939,Stephen Curry,15826000,45780966,0.3456895164684817,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html
202362,Lance Stephenson,235797,690095,0.3416877386446793,Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html
200746,LaMarcus Aldridge,748991,2641691,0.2835271044191012,LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html
101108,Chris Paul,8413220,30800000,0.2731564935064935,Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html
202683,Enes Freedom,595866,2641691,0.2255623386686785,Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html
200765,Rajon Rondo,1625940,7500000,0.216792,Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html
200752,Rudy Gay,1221248,5890000,0.2073426146010187,Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html
1630199,Cassius Stanley,49521,256734,0.1928883591577274,Cassius Stanley,https://www.basketball-reference.com/players/s/stanlca01.html
201565,Derrick Rose,2532308,13445120,0.1883440237052551,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html
1629033,Theo Pinson,80577,440710,0.182834517029339,Theo Pinson,https://www.basketball-reference.com/players/p/pinsoth01.html
201935,James Harden,7373953,44310840,0.1664142002273033,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
201937,Ricky Rubio,2877519,17800000,0.1616583707865168,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html
1629630,Ja Morant,1537673,9603360,0.1601182294530247,Ja Morant,https://www.basketball-reference.com/players/m/moranja01.html
1630536,Sharife Cooper,74051,462629,0.1600656249392061,Sharife Cooper,https://www.basketball-reference.com/players/c/coopesh01.html
1629027,Trae Young,1293651,8326471,0.1553660608437836,Trae Young,https://www.basketball-reference.com/players/y/youngtr01.html
201566,Russell Westbrook,6839765,44211146,0.1547068017644238,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
2617,Udonis Haslem,401122,2641691,0.1518428915418192,Udonis Haslem,https://www.basketball-reference.com/players/h/hasleud01.html
1629029,Luka Doncic,1428077,10174391,0.1403599488165925,Luka Doncic,https://www.basketball-reference.com/players/d/doncilu01.html
201933,Blake Griffin,4477345,32405817,0.1381648547851763,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html
203506,Victor Oladipo,320652,2389641,0.1341841724342694,Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html
202083,Wesley Matthews,248746,1958495,0.1270087490649708,Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html
202681,Kyrie Irving,4385593,35053700,0.1251107015807175,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html
1630267,Facundo Campazzo,394311,3200000,0.1232221875,Facundo Campazzo,https://www.basketball-reference.com/players/c/campafa01.html
203085,Austin Rivers,288147,2401537,0.119984409984106,Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html
1630163,LaMelo Ball,986673,8231760,0.1198617306627015,LaMelo Ball,https://www.basketball-reference.com/players/b/ballla01.html
201599,DeAndre Jordan,1155837,10517224,0.109899437342021,DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html
1629139,Yuta Watanabe,188091,1762796,0.1067003782627144,Yuta Watanabe,https://www.basketball-reference.com/players/w/watanyu01.html
1629657,Kyle Guy,45128,425198,0.1061340834152559,Kyle Guy,https://www.basketball-reference.com/players/g/guyky01.html
1628372,Dennis Smith Jr,182946,1789256,0.1022469674546291,Dennis Smith Jr.,https://www.basketball-reference.com/players/s/smithde03.html
201567,Kevin Love,3181789,31258256,0.1017903558023198,Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html
1626163,Frank Kaminsky,211534,2089448,0.1012391789601847,Frank Kaminsky,https://www.basketball-reference.com/players/k/kaminfr01.html
201586,Serge Ibaka,909519,9720900,0.0935632503163287,Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html
1630216,Cassius Winston,42447,462629,0.0917517060106478,Cassius Winston,https://www.basketball-reference.com/players/w/winstca01.html
1629117,Wenyen Gabriel,36358,397520,0.0914620648017709,Wenyen Gabriel,https://www.basketball-reference.com/players/g/gabriwe01.html
1628398,Kyle Kuzma,1127123,13000000,0.0867017692307692,Kyle Kuzma,https://www.basketball-reference.com/players/k/kuzmaky01.html
201587,Nicolas Batum,1016936,12026998,0.0845544332841828,Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html
1628370,Malik Monk,149697,1789256,0.0836643834085228,Malik Monk,https://www.basketball-reference.com/players/m/monkma01.html
1629639,Tyler Herro,332786,4004280,0.0831075748948625,Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html
1627780,Gary Payton II,126750,1669178,0.0759355802676527,Gary Payton II,https://www.basketball-reference.com/players/p/paytoga01.html
203081,Damian Lillard,2950145,39344900,0.0749816367559709,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html
202355,Hassan Whiteside,178881,2401537,0.0744860478934948,Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html
201580,JaVale McGee,365149,5000000,0.0730298,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html
1629674,Neemias Queta,33689,462629,0.0728207699906404,Neemias Queta,https://www.basketball-reference.com/players/q/quetane01.html
201988,Patty Mills,422879,5890000,0.0717960950764006,Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html
1628366,Lonzo Ball,1297437,18604651,0.0697372393602008,Lonzo Ball,https://www.basketball-reference.com/players/b/balllo01.html
1629678,Admiral Schofield,49803,723741,0.068813290942478,Admiral Schofield,https://www.basketball-reference.com/players/s/schofad01.html
202684,Tristan Thompson,661486,9720900,0.0680478145027723,Tristan Thompson,https://www.basketball-reference.com/players/t/thomptr01.html
203110,Draymond Green,1616732,24026712,0.0672889407422871,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html
201959,Taj Gibson,323245,4910000,0.0658340122199592,Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html
1630245,Ayo Dosunmu,60263,925258,0.0651310229146897,Ayo Dosunmu,https://www.basketball-reference.com/players/d/dosunay01.html
1628960,Grayson Allen,257488,4054695,0.0635036667369555,Grayson Allen,https://www.basketball-reference.com/players/a/allengr01.html
201980,Danny Green,634863,10000000,0.0634863,Danny Green,https://www.basketball-reference.com/players/g/greenda02.html
203076,Anthony Davis,2184592,35361360,0.061779071845653,Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html
202331,Paul George,2401180,39344970,0.0610288939094374,Paul George,https://www.basketball-reference.com/players/g/georgpa01.html
203954,Joel Embiid,1919448,31579390,0.0607816680436195,Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html
203469,Cody Zeller,142892,2389641,0.059796429672909,Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html
101150,Lou Williams,298622,5000000,0.0597244,Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html
1629603,Mamadi Diakite,14603,256734,0.0568798834591444,Mamadi Diakite,https://www.basketball-reference.com/players/d/diakima01.html
203507,Giannis Antetokounmpo,2109122,39344900,0.0536059819697089,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html
1630222,Mason Jones,15705,295125,0.0532147395171537,Mason Jones,https://www.basketball-reference.com/players/j/jonesma05.html
1629649,Ignas Brazdeikis,23665,462629,0.0511532999444479,Ignas Brazdeikis,https://www.basketball-reference.com/players/b/brazdig01.html
203504,Trey Burke,161022,3150000,0.0511180952380952,Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html
1629308,Juan Toscano-Anderson,83181,1701593,0.0488841926359593,Juan Toscano-Anderson,https://www.basketball-reference.com/players/t/toscaju01.html
1628373,Frank Ntilikina,86312,1789256,0.0482390446084853,Frank Ntilikina,https://www.basketball-reference.com/players/n/ntilila01.html
203648,Thanasis Antetokounmpo,82770,1729217,0.0478655946593169,Thanasis Antetokounmpo,https://www.basketball-reference.com/players/a/antetth01.html
1626224,Cedi Osman,367499,8133334,0.0451842995750574,Cedi Osman,https://www.basketball-reference.com/players/o/osmande01.html
1629627,Zion Williamson,474397,10733400,0.0441982037378649,Zion Williamson,https://www.basketball-reference.com/players/w/willizi01.html
1629060,Rui Hachimura,215219,4916160,0.0437778672785263,Rui Hachimura,https://www.basketball-reference.com/players/h/hachiru01.html
201588,George Hill,230279,5275491,0.0436507236956711,George Hill,https://www.basketball-reference.com/players/h/hillge01.html
202691,Klay Thompson,1642064,37980720,0.0432341461667919,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html
202322,John Wall,1908967,44310840,0.0430812640879748,John Wall,https://www.basketball-reference.com/players/w/walljo01.html
1629623,Lindell Wigginton,10028,233973,0.0428596461984929,Lindell Wigginton,https://www.basketball-reference.com/players/w/wiggili01.html
203463,Ben McLemore,102116,2389641,0.0427327786893512,Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html
1630528,Josh Christopher,96339,2259240,0.0426422159664311,Josh Christopher,https://www.basketball-reference.com/players/c/chrisjo01.html
1626169,Stanley Johnson,58171,1368998,0.0424916617847506,Stanley Johnson,https://www.basketball-reference.com/players/j/johnsst04.html
1626168,Trey Lyles,105545,2500000,0.042218,Trey Lyles,https://www.basketball-reference.com/players/l/lylestr01.html
1628404,Josh Hart,498861,12000000,0.04157175,Josh Hart,https://www.basketball-reference.com/players/h/hartjo01.html
1627936,Alex Caruso,356924,8600000,0.0415027906976744,Alex Caruso,https://www.basketball-reference.com/players/c/carusal01.html
203552,Seth Curry,339693,8207518,0.0413880298526302,Seth Curry,https://www.basketball-reference.com/players/c/curryse01.html
1628378,Donovan Mitchell,1143926,28103500,0.0407040404220114,Donovan Mitchell,https://www.basketball-reference.com/players/m/mitchdo01.html
1630193,Immanuel Quickley,86023,2210640,0.0389131654181594,Immanuel Quickley,https://www.basketball-reference.com/players/q/quickim01.html
1630568,Luka Garza,35809,925258,0.0387016378134531,Luka Garza,https://www.basketball-reference.com/players/g/garzalu01.html
203487,Michael Carter-Williams,127011,3300000,0.0384881818181818,Michael Carter-Williams,https://www.basketball-reference.com/players/c/cartemi01.html
1629626,Bol Bol,83057,2161152,0.0384318178452973,Bol Bol,https://www.basketball-reference.com/players/b/bolbo01.html
1629164,Brandon Goodwin,13194,343988,0.0383559891624126,Brandon Goodwin,https://www.basketball-reference.com/players/g/goodwbr01.html
203903,Jordan Clarkson,456598,12420000,0.0367631239935587,Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html
202693,Markieff Morris,96406,2641691,0.0364940486983526,Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html
202687,Bismack Biyombo,55217,1518213,0.0363697320468208,Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html
1629021,Moritz Wagner,62035,1729217,0.03587461839665,Moritz Wagner,https://www.basketball-reference.com/players/w/wagnemo01.html
201145,Jeff Green,155764,4500000,0.0346142222222222,Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html
1626164,Devin Booker,1089895,31650600,0.0344352081793078,Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html
1630570,Trendon Watford,15804,462629,0.0341612825828039,Trendon Watford,https://www.basketball-reference.com/players/w/watfotr01.html
200768,Kyle Lowry,920819,26984128,0.0341244675388435,Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html
201568,Danilo Gallinari,691244,20475000,0.0337603907203907,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html
1626171,Bobby Portis,146303,4347600,0.0336514398748734,Bobby Portis,https://www.basketball-reference.com/players/p/portibo01.html
1626195,Willy Hernangomez,78257,2327220,0.0336268165450623,Willy Hernangomez,https://www.basketball-reference.com/players/h/hernawi01.html
1629076,Tyler Cook,15540,462629,0.033590630937533,Tyler Cook,https://www.basketball-reference.com/players/c/cookty01.html
1629683,Quinndary Weatherspoon,11516,346491,0.0332360725098198,Quinndary Weatherspoon,https://www.basketball-reference.com/players/w/weathqu01.html
201577,Robin Lopez,163745,5000000,0.032749,Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html
203145,Kent Bazemore,78490,2401537,0.032683235777754,Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html
1630527,Brandon Boston Jr,29890,925258,0.0323045031764113,Brandon Boston Jr.,https://www.basketball-reference.com/players/b/bostobr01.html
1630181,RJ Hampton,73080,2303040,0.0317319716548561,R.J. Hampton,https://www.basketball-reference.com/players/h/hamptrj01.html
1629680,Matisse Thybulle,89661,2840160,0.031568996112895,Matisse Thybulle,https://www.basketball-reference.com/players/t/thybuma01.html
1628369,Jayson Tatum,878963,28103500,0.0312759264860248,Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html
1626159,Justise Winslow,121376,3902439,0.0311026001943912,Justise Winslow,https://www.basketball-reference.com/players/w/winslju01.html
1627732,Ben Simmons,1026080,33003936,0.0310896251889471,Ben Simmons,https://www.basketball-reference.com/players/s/simmobe01.html
1629011,Mitchell Robinson,55983,1802057,0.0310661649437281,Mitchell Robinson,https://www.basketball-reference.com/players/r/robinmi01.html
1626246,Boban Marjanovic,108401,3500000,0.0309717142857142,Boban Marjanovic,https://www.basketball-reference.com/players/m/marjabo01.html
1630178,Tyrese Maxey,79817,2602920,0.0306644076652375,Tyrese Maxey,https://www.basketball-reference.com/players/m/maxeyty01.html
1629185,Chris Chiozza,14127,462629,0.0305363476997767,Chris Chiozza,https://www.basketball-reference.com/players/c/chiozch01.html
1630792,Malcolm Hill,9695,324373,0.0298884309113273,Malcolm Hill,https://www.basketball-reference.com/players/h/hillma01.html
1628997,Caleb Martin,13762,462629,0.0297473785690045,Caleb Martin,https://www.basketball-reference.com/players/m/martica02.html
1628970,Miles Bridges,160834,5421493,0.0296659979086941,Miles Bridges,https://www.basketball-reference.com/players/b/bridgmi02.html
203901,Elfrid Payton,66291,2239544,0.0296002221880882,Elfrid Payton,https://www.basketball-reference.com/players/p/paytoel01.html
203084,Harrison Barnes,592490,20284091,0.0292095909055032,Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html
1629672,Eric Paschall,51769,1782621,0.0290409458881052,Eric Paschall,https://www.basketball-reference.com/players/p/pascher01.html
200794,Paul Millsap,73859,2641691,0.0279589853620275,Paul Millsap,https://www.basketball-reference.com/players/m/millspa01.html
1630208,Nick Richards,42271,1517981,0.0278468571082246,Nick Richards,https://www.basketball-reference.com/players/r/richani01.html
1629684,Grant Williams,71673,2617800,0.0273790969516387,Grant Williams,https://www.basketball-reference.com/players/w/willigr01.html
1630580,Joe Wieskamp,12613,462629,0.0272637469765189,Joe Wieskamp,https://www.basketball-reference.com/players/w/wieskjo01.html
201942,DeMar DeRozan,706849,26000000,0.0271865,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html
1628973,Jalen Brunson,48958,1802057,0.0271678420826866,Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html
2772,Trevor Ariza,71461,2641691,0.0270512334712879,Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html
1629004,Svi Mykhailiuk,46777,1729217,0.0270509716247295,Svi Mykhailiuk,https://www.basketball-reference.com/players/m/mykhasv01.html
1630582,Yves Pons,12488,462629,0.0269935520687202,Yves Pons,https://www.basketball-reference.com/players/p/ponsyv01.html
203897,Zach LaVine,522082,19500000,0.0267734358974358,Zach LaVine,https://www.basketball-reference.com/players/l/lavinza01.html
1627737,Marquese Chriss,34052,1292900,0.0263376904632995,Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html
1627777,Georges Niang,84528,3300000,0.0256145454545454,Georges Niang,https://www.basketball-reference.com/players/n/niangge01.html
201144,Mike Conley,535854,21000000,0.0255168571428571,Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html
203457,Nerlens Noel,220615,8800000,0.0250698863636363,Nerlens Noel,https://www.basketball-reference.com/players/n/noelne01.html
1630210,Markus Howard,11098,462629,0.0239889846939988,Markus Howard,https://www.basketball-reference.com/players/h/howarma02.html
1630688,Ish Wainright,16934,707311,0.0239413779794178,Ish Wainright,https://www.basketball-reference.com/players/w/wainris01.html
1630535,Greg Brown III,22016,925258,0.0237944443603838,Greg Brown III,https://www.basketball-reference.com/players/b/browngr01.html
203935,Marcus Smart,339466,14339285,0.0236738442676883,Marcus Smart,https://www.basketball-reference.com/players/s/smartma01.html
1630575,Scottie Lewis,10906,462629,0.02357396531562,Scottie Lewis,https://www.basketball-reference.com/players/l/lewissc01.html
1630175,Cole Anthony,80763,3449400,0.0234136371542877,Cole Anthony,https://www.basketball-reference.com/players/a/anthoco01.html
1630540,Miles McBride,21589,925258,0.0233329514578636,Miles McBride,https://www.basketball-reference.com/players/m/mcbrimi01.html
1629023,PJ Washington,96357,4215120,0.0228598474064795,P.J. Washington,https://www.basketball-reference.com/players/w/washipj01.html
1629628,RJ Barrett,197038,8623920,0.0228478464549763,RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html
202334,Ed Davis,59773,2641691,0.0226267947311021,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html
1629719,Devontae Cacok,10255,462629,0.0221667902358045,Devontae Cacok,https://www.basketball-reference.com/players/c/cacokde01.html
202710,Jimmy Butler,795925,36016200,0.0220990831903421,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html
1627788,Furkan Korkmaz,101875,4629630,0.0220049982396001,Furkan Korkmaz,https://www.basketball-reference.com/players/k/korkmfu01.html
202330,Gordon Hayward,657341,29925000,0.0219662823725981,Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html
203944,Julius Randle,476792,21780000,0.0218912764003673,Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html
1628983,Shai Gilgeous-Alexander,119944,5495532,0.0218257304297381,Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html
1629735,Chris Silva,10457,479650,0.0218013134577295,Chris Silva,https://www.basketball-reference.com/players/s/silvach01.html
1627814,Damion Lee,40567,1910860,0.0212297080895513,Damion Lee,https://www.basketball-reference.com/players/l/leeda03.html
203918,Rodney Hood,47341,2239544,0.0211386782309255,Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html
1629599,Amir Coffey,9774,462629,0.0211270802305951,Amir Coffey,https://www.basketball-reference.com/players/c/coffeam01.html
1626156,DAngelo Russell,629857,30013500,0.0209857897279557,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html
1629744,Matt Thomas,34934,1669178,0.0209288643871414,Matt Thomas,https://www.basketball-reference.com/players/t/thomama02.html
1630525,David Johnson,9476,462629,0.020482935570403,David Johnson,https://www.basketball-reference.com/players/j/johnsda08.html
1626157,Karl-Anthony Towns,647106,31650600,0.0204452996151731,Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html
202357,Nemanja Bjelica,42663,2089448,0.0204183114391935,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html
203109,Jae Crowder,197431,9720900,0.0203099507247271,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html
1630202,Payton Pritchard,43151,2137440,0.0201881690246275,Payton Pritchard,https://www.basketball-reference.com/players/p/pritcpa01.html
1629670,Jordan Nwora,30465,1517981,0.0200694211587628,Jordan Nwora,https://www.basketball-reference.com/players/n/nworajo01.html
