Player,Totals_G,Totals_MP,Position Estimate_PG%,Position Estimate_SG%,Position Estimate_SF%,Position Estimate_PF%,Position Estimate_C%,+/- Per 100 Poss._OnCourt,+/- Per 100 Poss._On-Off,Turnovers_BadPass,Turnovers_LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,Misc._PGA,Misc._And1,Misc._Blkd
Precious Achiuwa,44,1047,,,,,100%,1.5,-0.5,10,15,38,11,37,3,125,8,35
Steven Adams,52,1354,,,,,100%,7.9,6.4,46,14,42,15,56,8,354,13,34
Bam Adebayo,30,985,,,,2%,98%,4.3,-0.9,32,25,39,24,94,2,263,24,26
Santi Aldama,27,277,,,3%,63%,34%,3.3,-1.5,4,1,11,4,11,1,40,4,3
LaMarcus Aldridge,36,825,,,,,100%,4.7,6.1,8,8,36,8,39,0,81,16,10
Nickeil Alexander-Walker,50,1317,12%,55%,33%,,,-5.3,-3.2,58,16,39,6,42,11,329,5,41
Grayson Allen,46,1298,8%,81%,12%,,,7.4,6.5,18,4,31,3,24,8,168,5,20
Jarrett Allen,47,1531,,,,,100%,6.2,4.1,31,33,48,11,99,14,203,29,30
Jose Alvarado,27,335,100%,,,,,9.1,14.6,7,3,14,0,7,6,122,2,7
Justin Anderson,6,77,,8%,81%,12%,,26.3,25.1,2,1,6,0,3,0,25,1,0
Justin Anderson,3,47,,6%,75%,19%,,35.7,31.9,1,1,3,0,1,0,17,0,0
Justin Anderson,3,30,,10%,90%,,,11.5,14.5,1,0,3,0,2,0,8,1,0
Kyle Anderson,43,955,,,11%,62%,26%,0.4,-6.6,18,13,26,5,29,3,268,9,15
Giannis Antetokounmpo,46,1499,,,,57%,43%,9.6,12.9,53,42,62,35,240,2,727,54,45
Thanasis Antetokounmpo,33,347,2%,29%,48%,21%,1%,-14.0,-20.7,4,5,26,3,11,6,46,2,11
Carmelo Anthony,50,1327,,,,65%,35%,1.7,6.1,17,6,61,13,43,1,128,8,13
Cole Anthony,42,1396,99%,1%,,,,-4.7,7.8,69,36,58,3,65,12,629,15,31
OG Anunoby,38,1413,5%,28%,59%,8%,,3.3,3.4,32,23,47,9,40,5,252,8,39
Trevor Ariza,18,350,,,39%,59%,2%,-3.4,-2.2,3,3,12,0,3,3,61,1,3
D.J. Augustin,34,510,100%,,,,,-13.9,-5.5,33,8,8,1,9,1,181,2,5
Deni Avdija,53,1206,,6%,60%,34%,,2.0,9.6,25,12,69,3,31,2,199,8,19
Joel Ayayi,7,20,20%,51%,29%,,,0.2,3.3,0,0,0,0,0,0,11,0,2
Deandre Ayton,33,967,,,,,100%,6.1,-3.1,14,18,43,16,45,1,128,12,22
Udoka Azubuike,13,149,,,,,100%,0.6,-6.4,2,2,8,4,5,0,0,3,2
Marvin Bagley III,30,656,,,,78%,22%,-2.9,2.4,4,4,32,7,24,5,45,9,21
LaMelo Ball,49,1589,96%,4%,,,,-0.7,0.6,92,27,51,13,61,12,868,13,34
Lonzo Ball,35,1212,82%,18%,,,,2.8,1.2,57,15,41,7,13,4,408,5,18
Mo Bamba,45,1180,,,,2%,98%,-11.6,-5.6,24,14,74,10,23,2,143,3,20
Desmond Bane,52,1564,,54%,45%,1%,,4.6,0.0,32,22,57,9,30,1,322,10,44
Dalano Banton,43,505,3%,33%,53%,11%,1%,0.0,-2.3,17,11,20,9,12,1,167,2,14
Cat Barber,3,13,100%,,,,,35.7,35.2,0,1,1,0,1,0,8,0,1
Harrison Barnes,52,1755,,,42%,57%,1%,-7.4,-7.4,37,32,28,10,134,12,316,34,36
Scottie Barnes,45,1620,,,25%,65%,10%,1.5,-0.9,54,15,58,8,68,10,374,17,24
RJ Barrett,48,1587,,1%,96%,4%,,-5.5,-11.1,50,30,50,7,111,11,298,21,64
Will Barton,47,1533,,63%,36%,1%,,1.3,-2.0,48,29,41,8,37,6,450,6,36
Paris Bass,2,7,,,100%,,,12.5,4.5,1,1,1,0,1,0,0,0,2
Charles Bassey,22,161,,,,19%,81%,-10.1,-13.1,1,4,20,0,6,0,18,1,2
Keita Bates-Diop,42,701,,,16%,80%,4%,2.3,3.3,13,10,20,2,21,0,60,6,18
Nicolas Batum,35,871,,,,86%,14%,-5.9,-6.7,19,1,15,2,12,9,129,3,2
Kent Bazemore,31,455,,19%,66%,14%,,-8.0,-7.8,7,2,31,0,7,6,71,1,0
Darius Bazley,49,1309,,,11%,82%,7%,-10.8,-7.4,28,28,28,5,62,3,144,13,58
Bradley Beal,40,1439,16%,83%,1%,,,-3.2,-0.3,77,38,50,10,86,17,623,16,34
Malik Beasley,55,1421,19%,72%,8%,,,-2.6,-9.0,11,17,37,6,10,4,206,1,27
Jordan Bell,1,2,,,,,100%,25.0,22.9,0,0,2,0,0,0,0,0,0
DeAndre' Bembry,48,949,,15%,65%,20%,,1.6,1.8,17,5,40,5,17,7,142,3,22
Dāvis Bertāns,34,501,,,,81%,20%,-4.9,-2.3,8,4,28,2,6,4,37,1,0
Patrick Beverley,36,931,97%,3%,,,,5.4,6.0,30,4,40,3,23,21,438,6,15
Saddiq Bey,54,1807,,8%,46%,47%,,-11.6,-4.6,30,10,26,15,68,5,356,16,37
Khem Birch,27,508,,,,,100%,2.5,0.8,4,6,17,7,19,2,76,6,8
Goga Bitadze,32,359,,,,,100%,-2.0,1.0,11,5,26,5,25,2,47,10,12
Bismack Biyombo,15,290,,,,,100%,9.1,1.2,4,2,16,3,21,0,34,7,4
Nemanja Bjelica,49,755,,,,,100%,6.3,-2.4,26,15,40,10,27,0,213,6,15
Eric Bledsoe,54,1361,100%,,,,,-1.4,0.0,66,35,25,10,61,23,550,23,19
Keljin Blevins,12,73,,66%,34%,1%,,-29.1,-25.3,4,1,3,0,0,0,9,0,0
Bogdan Bogdanović,36,1027,,51%,49%,,,1.3,1.0,22,10,25,2,12,3,245,2,10
Bojan Bogdanović,53,1641,,,5%,94%,1%,5.2,-3.6,32,36,29,8,72,4,232,17,50
Bol Bol,14,81,,,,14%,86%,1.7,-0.4,0,1,4,0,2,0,12,1,1
Leandro Bolmaro,25,188,,28%,53%,19%,,-8.6,-10.9,8,1,7,1,2,0,26,1,1
Isaac Bonga,13,66,3%,49%,44%,4%,,-23.3,-25.8,1,1,4,0,3,0,8,0,2
Devin Booker,47,1598,,84%,15%,,,9.1,2.9,64,30,56,9,87,7,489,23,41
Brandon Boston Jr.,39,605,6%,39%,53%,3%,,-3.3,-2.5,10,8,17,0,22,2,80,4,24
Chris Boucher,51,1028,,8%,48%,40%,4%,5.6,6.2,8,9,75,4,57,15,47,15,25
James Bouknight,25,249,36%,49%,15%,,,-13.4,-13.6,3,4,10,0,10,4,45,2,13
Avery Bradley,48,1139,19%,81%,,,,-3.4,-3.3,19,6,31,3,5,7,93,1,17
Tony Bradley,41,474,,,,,100%,8.2,7.4,4,7,24,14,11,2,51,2,16
Ignas Brazdeikis,25,228,5%,24%,51%,21%,,-3.6,5.3,5,0,16,1,3,3,49,0,4
Mikal Bridges,54,1877,,4%,92%,4%,,10.2,7.7,26,9,44,4,43,14,274,16,17
Miles Bridges,54,1941,,,4%,81%,15%,1.3,8.1,47,30,71,15,104,10,478,28,41
Oshae Brissett,43,822,,,22%,75%,3%,-4.8,-2.7,13,11,25,4,34,5,77,7,17
Malcolm Brogdon,28,934,75%,25%,,,,1.3,6.4,40,11,23,6,38,6,403,8,26
Armoni Brooks,41,690,58%,39%,3%,,,-6.4,4.0,10,7,35,1,8,3,115,3,4
Dillon Brooks,21,587,,12%,83%,4%,,8.8,5.4,7,17,29,7,32,12,127,6,22
Bruce Brown,45,924,,36%,55%,9%,,-4.0,-7.0,15,9,56,5,24,3,131,8,20
Charlie Brown Jr.,17,166,5%,60%,33%,1%,,-1.0,-3.0,4,1,11,0,4,0,13,2,4
Charlie Brown Jr.,3,15,,35%,51%,14%,,-86.4,-90.2,0,0,1,0,0,0,2,0,0
Charlie Brown Jr.,14,151,6%,63%,32%,,,7.5,5.7,4,1,10,0,4,0,11,2,4
Chaundee Brown Jr.,5,104,,34%,61%,5%,,-7.7,-8.2,0,1,4,0,2,1,9,0,3
Chaundee Brown Jr.,2,21,,4%,71%,25%,,-2.3,-0.8,0,1,0,0,0,1,0,0,1
Chaundee Brown Jr.,3,83,1%,41%,59%,,,-9.1,-10.1,0,0,4,0,2,0,9,0,2
Greg Brown III,25,173,,,,81%,19%,-13.2,-9.4,1,3,11,2,14,3,14,2,6
Jaylen Brown,42,1435,,39%,50%,11%,,8.5,7.6,50,47,46,13,96,10,324,22,55
Moses Brown,26,169,,,,2%,98%,0.6,-2.8,1,2,14,6,18,0,2,3,5
Sterling Brown,36,513,,16%,57%,27%,,2.6,-0.8,7,9,20,2,5,1,71,1,11
Troy Brown Jr.,44,782,,4%,58%,38%,,-1.3,-4.9,10,6,24,1,14,2,128,5,17
Jalen Brunson,54,1708,94%,6%,,,,3.5,0.9,56,19,41,10,47,30,739,15,28
Thomas Bryant,11,177,,,,,100%,-21.5,-19.8,6,0,13,1,8,0,14,1,3
Shaq Buchanan,2,10,,100%,,,,-8.7,-13.4,1,0,1,0,0,0,4,0,1
Reggie Bullock,47,1164,,16%,57%,27%,,8.0,8.5,17,5,29,1,7,5,118,3,10
Trey Burke,30,334,100%,,,,,1.0,-2.5,12,6,17,2,6,3,107,0,5
Alec Burks,54,1445,24%,34%,42%,,,2.4,7.5,38,8,57,5,80,11,332,19,19
Jared Butler,26,206,36%,60%,4%,,,-8.3,-16.1,11,8,14,2,4,0,71,1,5
Jimmy Butler,36,1215,,,66%,33%,1%,5.5,1.3,44,17,15,11,120,12,561,23,21
Devontae Cacok,8,67,,,,94%,6%,4.9,5.2,0,0,5,1,3,0,4,1,2
Kentavious Caldwell-Pope,50,1461,1%,25%,74%,,,-6.0,-6.9,29,25,43,3,27,16,185,9,19
Facundo Campazzo,51,1024,100%,,,,,-10.3,-20.5,46,8,37,5,18,23,469,4,7
Vlatko Čančar,14,152,,5%,28%,39%,28%,2.7,0.6,4,2,9,2,5,2,35,0,2
Clint Capela,46,1295,,,,,100%,2.9,4.4,9,8,50,5,57,6,157,12,27
Vernon Carey Jr.,4,17,,,,34%,66%,-56.1,-55.5,1,0,1,0,2,0,0,1,0
Jevon Carter,41,484,63%,37%,,,,1.8,1.6,12,2,17,1,1,1,94,0,3
Wendell Carter Jr.,47,1376,,,,62%,38%,-4.3,8.4,28,24,59,20,66,2,299,15,25
Alex Caruso,28,775,27%,69%,5%,,,9.0,9.8,26,11,33,2,23,19,259,7,13
Willie Cauley-Stein,18,177,,,,,100%,5.2,2.1,2,2,11,2,1,0,23,0,6
Ahmad Caver,1,1,100%,,,,,100.0,102.9,0,0,0,0,0,0,0,0,0
Justin Champagnie,30,252,15%,61%,24%,,,9.9,9.0,1,1,15,1,4,1,24,1,4
Zylan Cheatham,1,5,,,,100%,,-118.2,-125.0,0,0,0,0,0,0,0,0,0
Chris Chiozza,26,279,100%,,,,,-3.0,-12.2,11,9,11,1,1,6,113,1,5
Marquese Chriss,22,251,,,,19%,81%,1.0,-2.4,4,3,24,9,7,2,30,1,13
Josh Christopher,46,765,7%,65%,27%,2%,,-9.5,-0.1,31,20,27,3,26,6,193,6,23
Gary Clark,22,241,,,31%,69%,,-4.0,-0.4,1,2,7,0,2,2,19,0,5
Brandon Clarke,41,766,,,25%,75%,1%,6.8,3.0,4,5,35,5,38,3,140,13,16
Jordan Clarkson,52,1381,1%,93%,6%,,,7.5,2.0,31,37,32,6,42,5,305,18,21
Nic Claxton,25,530,,,,4%,96%,-6.6,-8.9,4,6,30,6,30,2,49,9,11
Amir Coffey,43,949,,45%,48%,8%,,-0.3,1.7,7,7,27,2,34,8,171,6,13
John Collins,49,1543,,,,94%,6%,1.8,2.8,23,12,80,11,64,16,212,16,37
Zach Collins,2,31,,,,,100%,16.5,16.8,2,1,4,1,2,0,13,0,2
Darren Collison,3,37,100%,,,,,-21.7,-20.6,1,0,5,0,0,0,4,0,0
Mike Conley,49,1395,100%,,,,,11.6,10.5,62,14,29,2,39,17,617,8,11
Pat Connaughton,53,1441,1%,28%,58%,13%,,-0.2,-9.1,17,8,35,4,12,15,166,3,10
Tyler Cook,18,192,,,,26%,74%,-9.1,-12.1,1,1,14,5,13,8,8,0,6
Sharife Cooper,10,35,100%,,,,,-37.1,-38.3,2,2,0,0,0,0,12,0,3
Petr Cornelie,13,38,,,4%,75%,22%,6.0,3.9,3,0,5,1,0,0,8,0,1
DeMarcus Cousins,22,353,,,,,100%,5.0,1.7,15,3,29,8,26,7,57,12,14
DeMarcus Cousins,17,287,,,,,100%,9.3,5.9,10,1,24,4,21,5,47,12,10
DeMarcus Cousins,5,66,,,,,100%,-13.8,-16.3,5,2,5,4,5,2,10,0,4
Robert Covington,50,1483,,,2%,90%,9%,-2.4,4.3,33,13,72,10,13,8,175,1,21
Robert Covington,48,1431,,,1%,90%,9%,-2.2,4.8,31,13,67,9,11,8,172,1,18
Robert Covington,2,52,,,16%,85%,,-8.0,-6.8,2,0,5,1,2,0,3,0,3
Torrey Craig,51,1034,,,5%,83%,12%,-7.7,-7.8,19,11,45,3,16,10,146,5,10
Jae Crowder,44,1244,,1%,14%,86%,,10.4,4.5,25,6,58,6,18,8,161,2,5
Jarrett Culver,25,233,5%,65%,30%,,,5.6,1.1,6,1,12,2,10,0,58,3,7
Jarron Cumberland,3,12,33%,39%,28%,,,30.5,35.1,0,0,0,0,0,0,2,0,0
Cade Cunningham,41,1314,3%,81%,17%,,,-9.8,0.7,79,38,59,12,31,3,509,7,46
Seth Curry,45,1566,18%,76%,7%,,,2.8,1.5,47,18,32,5,20,11,435,9,9
Stephen Curry,50,1732,96%,4%,,,,12.3,12.8,94,45,41,11,80,9,736,16,34
Anthony Davis,35,1245,,,,23%,77%,-2.5,-1.9,28,32,51,10,79,4,259,21,17
Ed Davis,18,139,,,,6%,95%,-6.6,-11.6,2,0,18,3,3,0,7,0,1
Terence Davis,30,536,,47%,51%,3%,,5.6,12.9,16,5,34,5,19,2,92,8,14
Gabriel Deck,7,56,,,14%,72%,14%,-12.2,-5.2,2,0,1,0,0,0,13,0,0
Dewayne Dedmon,48,792,,,,,100%,8.3,4.9,9,8,48,26,25,11,91,3,20
Sam Dekker,1,1,,,,,100%,-250.0,-251.9,0,0,0,0,0,0,0,0,0
Javin DeLaurier,1,3,,,,,100%,85.7,81.8,0,0,1,0,0,0,0,0,0
DeMar DeRozan,51,1807,,,7%,83%,10%,5.2,9.9,56,43,58,9,195,7,653,50,59
Mamadi Diakite,13,188,,,,10%,90%,-5.8,1.4,1,1,18,4,5,2,5,1,5
Cheick Diallo,3,31,,,,,100%,-45.3,-35.6,0,0,3,1,3,0,0,0,1
Hamidou Diallo,47,1055,,16%,80%,4%,,-8.1,3.5,22,13,58,4,60,9,143,18,20
Gorgui Dieng,35,323,,,,,100%,-5.9,-7.5,5,1,22,5,11,4,70,3,4
Spencer Dinwiddie,44,1330,64%,36%,,,,-4.1,-2.1,48,10,40,11,63,7,604,12,26
Donte DiVincenzo,17,341,15%,76%,9%,,,-5.6,-11.0,13,11,14,3,5,4,67,1,6
Luka Dončić,40,1403,38%,60%,2%,,,3.2,-0.1,111,36,32,11,129,3,884,31,26
Luguentz Dort,49,1601,1%,16%,64%,20%,,-8.6,-3.9,36,22,55,17,75,41,213,14,42
Ayo Dosunmu,50,1237,16%,65%,18%,,,-1.0,-5.7,28,13,48,6,23,2,307,6,20
Damyean Dotson,2,21,30%,70%,,,,8.3,9.5,0,0,0,0,0,0,2,0,1
Devon Dotson,11,85,100%,,,,,0.2,-2.0,3,0,4,1,3,2,38,1,2
Sekou Doumbouya,2,16,,,,100%,,65.5,67.4,0,2,1,0,1,0,0,0,1
Jeff Dowtin,5,31,100%,,,,,17.8,10.4,0,1,0,0,0,0,7,0,0
Jeff Dowtin,4,28,100%,,,,,28.3,20.5,0,1,0,0,0,0,7,0,0
Jeff Dowtin,1,3,100%,,,,,-80.0,-84.1,0,0,0,0,0,0,0,0,0
PJ Dozier,18,340,,16%,60%,25%,,-12.6,-16.9,10,1,16,0,7,5,70,1,5
Goran Dragić,5,90,61%,39%,,,,-12.9,-15.2,0,1,2,0,2,1,23,0,2
Andre Drummond,49,902,,,,1%,99%,0.8,-2.2,35,13,66,19,34,3,230,10,23
Chris Duarte,48,1392,26%,67%,7%,,,-1.6,2.7,38,20,32,7,47,6,248,8,32
David Duke Jr.,15,273,17%,80%,3%,,,2.2,1.9,3,1,13,1,7,0,35,1,11
Kevin Durant,36,1313,,,1%,60%,39%,5.0,9.2,48,41,31,12,90,3,485,18,26
Jaime Echenique,1,3,,,,,100%,-25.0,-21.9,0,0,0,0,0,0,0,0,0
Anthony Edwards,49,1708,2%,34%,60%,4%,,4.7,8.9,67,43,46,13,84,4,446,21,31
Kessler Edwards,23,588,,3%,32%,63%,3%,-5.5,-7.8,9,7,23,2,5,2,44,2,12
Rob Edwards,2,11,19%,17%,64%,,,-51.7,-44.7,1,0,0,0,0,0,0,0,0
CJ Elleby,32,441,,10%,71%,19%,,-9.1,-5.6,8,4,18,2,9,5,78,3,3
Wayne Ellington,34,657,11%,42%,46%,2%,,-5.1,-4.7,13,1,19,1,0,5,60,0,3
Joel Embiid,42,1384,,,,,100%,6.6,9.3,53,41,53,16,217,0,441,54,49
James Ennis III,7,56,,,32%,68%,,0.8,0.8,0,2,3,0,3,0,9,1,1
James Ennis III,2,14,,,11%,89%,,33.0,32.7,0,0,0,0,0,0,0,0,0
James Ennis III,2,28,,,42%,58%,,0.4,1.8,0,1,2,0,2,0,0,0,0
James Ennis III,3,14,,,31%,69%,,-30.8,-33.1,0,1,1,0,1,0,9,1,1
Drew Eubanks,49,595,,,,6%,94%,-5.4,-6.8,17,7,29,14,32,4,124,7,17
Tacko Fall,11,59,,,,,100%,-0.3,-4.8,0,3,3,0,4,0,5,1,1
Derrick Favors,35,575,,,,,100%,-10.9,-4.8,2,2,32,0,11,2,62,0,7
Bruno Fernando,20,58,,,,12%,88%,-18.8,-24.2,0,1,2,2,2,0,10,1,2
Dorian Finney-Smith,54,1753,,,44%,55%,1%,4.2,2.8,32,4,47,8,28,3,256,4,22
Malik Fitts,7,35,,,,67%,33%,-39.2,-46.4,1,0,2,0,0,0,0,0,1
Malachi Flynn,31,268,99%,1%,,,,-10.7,-13.9,7,1,13,1,3,1,76,1,4
Bryn Forbes,51,901,21%,72%,6%,,,-2.5,-3.9,18,9,30,6,23,3,129,4,22
Bryn Forbes,40,676,28%,70%,2%,,,-3.8,-5.0,15,7,16,5,18,3,92,3,16
Bryn Forbes,11,225,2%,78%,20%,,,1.7,-0.4,3,2,14,1,5,0,37,1,6
Aleem Ford,5,74,,11%,44%,33%,11%,-21.2,-13.1,0,2,3,1,0,1,4,0,1
Trent Forrest,43,514,88%,12%,,,,4.0,-3.2,19,4,15,3,16,0,154,4,8
Evan Fournier,53,1538,,75%,25%,,,-3.4,-5.7,32,28,48,7,31,8,232,10,20
De'Aaron Fox,45,1540,100%,,,,,-4.8,-0.1,59,46,53,12,131,25,555,35,37
Tim Frazier,10,200,100%,,,,,-17.7,-10.0,8,2,7,2,4,4,77,1,2
Enes Freedom,35,411,,,,,100%,8.9,4.8,3,9,29,4,15,1,19,5,16
Wenyen Gabriel,7,47,,,,,100%,-0.8,0.5,2,0,8,1,2,0,4,0,2
Wenyen Gabriel,1,1,,,,,100%,100.0,99.5,0,0,0,0,0,0,0,0,0
Wenyen Gabriel,6,46,,,,,100%,-3.0,-1.6,2,0,8,1,2,0,4,0,2
Daniel Gafford,48,988,,,,,100%,-6.4,-5.4,14,18,78,10,47,3,120,18,27
Danilo Gallinari,43,997,,,,64%,36%,1.3,1.0,7,11,25,4,41,3,147,4,5
Langston Galloway,7,107,48%,31%,21%,,,-3.1,-5.3,3,1,4,1,0,1,29,0,1
Langston Galloway,4,58,4%,57%,38%,,,10.9,10.6,2,1,3,1,0,1,13,0,0
Langston Galloway,3,49,100%,,,,,-19.7,-24.2,1,0,1,0,0,0,16,0,1
Darius Garland,45,1556,96%,4%,,,,9.1,11.3,96,39,34,11,34,13,851,11,24
Marcus Garrett,12,128,2%,62%,36%,1%,,9.6,5.0,1,1,8,0,3,1,17,1,3
Usman Garuba,15,105,,,,35%,65%,17.5,28.0,1,1,3,1,1,2,19,0,2
Luka Garza,27,327,,,,,100%,-8.0,2.5,6,2,27,6,19,6,37,5,13
Rudy Gay,35,699,,,,71%,29%,7.2,0.8,12,12,33,4,28,4,99,5,12
Paul George,26,924,,4%,49%,45%,2%,1.3,4.1,70,29,24,7,51,10,346,11,27
Taj Gibson,35,627,,,,9%,91%,5.7,8.8,7,1,38,9,13,1,61,3,5
Josh Giddey,49,1535,5%,60%,34%,2%,,-8.7,-3.9,92,37,40,8,32,3,722,6,43
Shai Gilgeous-Alexander,43,1487,76%,23%,,,,-5.6,3.7,48,34,39,15,120,5,583,19,51
Anthony Gill,21,121,,,12%,64%,24%,15.4,19.4,2,1,12,1,5,4,18,0,1
Freddie Gillespie,9,119,,,,28%,72%,-10.9,-2.6,1,1,9,2,3,3,12,1,5
Rudy Gobert,42,1364,,,,,100%,12.2,11.5,18,23,51,28,116,4,128,21,29
Brandon Goodwin,15,251,100%,,,,,0.2,-4.7,13,1,4,2,4,3,115,0,10
Jordan Goodwin,2,6,48%,52%,,,,-100.0,-97.1,0,0,1,0,0,0,0,0,0
Aaron Gordon,49,1555,,,45%,52%,4%,7.2,12.6,30,27,34,20,67,5,295,21,35
Eric Gordon,45,1326,16%,55%,29%,,,-6.4,6.3,45,32,19,6,49,3,337,12,21
Devonte' Graham,50,1563,99%,1%,,,,-0.6,7.7,54,18,33,4,30,13,533,4,19
Jerami Grant,29,945,,,2%,94%,5%,-11.7,-2.3,22,18,31,15,69,9,188,10,19
Hassani Gravett,8,171,87%,13%,,,,-0.3,8.6,8,1,7,0,2,1,50,0,3
