playerid,name,br_url
201580,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html
1626164,Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html
203901,Elfrid Payton,https://www.basketball-reference.com/players/p/paytoel01.html
101108,Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html
1626163,Frank Kaminsky,https://www.basketball-reference.com/players/k/kaminfr01.html
1630188,Jalen Smith,https://www.basketball-reference.com/players/s/smithja04.html
1627846,Abdel Nader,https://www.basketball-reference.com/players/n/naderab01.html
1630688,Ish Wainright,https://www.basketball-reference.com/players/w/wainris01.html
1629013,Landry Shamet,https://www.basketball-reference.com/players/s/shamela01.html
1626166,Cameron Payne,https://www.basketball-reference.com/players/p/payneca01.html
202687,Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html
203967,Dario Saric,https://www.basketball-reference.com/players/s/saricda01.html
1629028,Deandre Ayton,https://www.basketball-reference.com/players/a/aytonde01.html
1629661,Cameron Johnson,https://www.basketball-reference.com/players/j/johnsca02.html
1628969,Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html
203109,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html
1629216,Gabe Vincent,https://www.basketball-reference.com/players/v/vincega01.html
203506,Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html
1629657,Kyle Guy,https://www.basketball-reference.com/players/g/guyky01.html
200768,Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html
202693,Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html
1629644,KZ Okpala,https://www.basketball-reference.com/players/o/okpalkz01.html
1628389,Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html
1629639,Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html
1628997,Caleb Martin,https://www.basketball-reference.com/players/m/martica02.html
200782,P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html
203473,Dewayne Dedmon,https://www.basketball-reference.com/players/d/dedmode01.html
202710,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html
1629735,Chris Silva,https://www.basketball-reference.com/players/s/silvach01.html
1629622,Max Strus,https://www.basketball-reference.com/players/s/strusma01.html
2617,Udonis Haslem,https://www.basketball-reference.com/players/h/hasleud01.html
1629130,Duncan Robinson,https://www.basketball-reference.com/players/r/robindu01.html
1630209,Omer Yurtseven,https://www.basketball-reference.com/players/y/yurtsom01.html
1630792,Malcolm Hill,https://www.basketball-reference.com/players/h/hillma01.html
1629632,Coby White,https://www.basketball-reference.com/players/w/whiteco01.html
1628366,Lonzo Ball,https://www.basketball-reference.com/players/b/balllo01.html
1627884,Derrick Jones Jr.,https://www.basketball-reference.com/players/j/jonesde02.html
1627936,Alex Caruso,https://www.basketball-reference.com/players/c/carusal01.html
1628972,Troy Brown Jr.,https://www.basketball-reference.com/players/b/browntr01.html
203897,Zach LaVine,https://www.basketball-reference.com/players/l/lavinza01.html
202696,Nikola Vucevic,https://www.basketball-reference.com/players/v/vucevni01.html
201942,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html
1630245,Ayo Dosunmu,https://www.basketball-reference.com/players/d/dosunay01.html
1628396,Tony Bradley,https://www.basketball-reference.com/players/b/bradlto01.html
1630250,Marko Simonovic,https://www.basketball-reference.com/players/s/simonma01.html
1629744,Matt Thomas,https://www.basketball-reference.com/players/t/thomama02.html
1629750,Javonte Green,https://www.basketball-reference.com/players/g/greenja02.html
1629076,Tyler Cook,https://www.basketball-reference.com/players/c/cookty01.html
1628035,Alfonzo McKinnie,https://www.basketball-reference.com/players/m/mckinal01.html
1630172,Patrick Williams,https://www.basketball-reference.com/players/w/willipa01.html
1627780,Gary Payton II,https://www.basketball-reference.com/players/p/paytoga01.html
1630228,Jonathan Kuminga,https://www.basketball-reference.com/players/k/kuminjo01.html
1627814,Damion Lee,https://www.basketball-reference.com/players/l/leeda03.html
1629185,Chris Chiozza,https://www.basketball-reference.com/players/c/chiozch01.html
1629673,Jordan Poole,https://www.basketball-reference.com/players/p/poolejo01.html
1630541,Moses Moody,https://www.basketball-reference.com/players/m/moodymo01.html
1626172,Kevon Looney,https://www.basketball-reference.com/players/l/looneke01.html
202357,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html
2738,Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html
202691,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html
1629683,Quinndary Weatherspoon,https://www.basketball-reference.com/players/w/weathqu01.html
203952,Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html
203110,Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html
201939,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html
203490,Otto Porter Jr.,https://www.basketball-reference.com/players/p/porteot01.html
1630164,James Wiseman,https://www.basketball-reference.com/players/w/wisemja01.html
1629308,Juan Toscano-Anderson,https://www.basketball-reference.com/players/t/toscaju01.html
1630178,Tyrese Maxey,https://www.basketball-reference.com/players/m/maxeyty01.html
203083,Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html
1629619,Myles Powell,https://www.basketball-reference.com/players/p/powelmy01.html
1630198,Isaiah Joe,https://www.basketball-reference.com/players/j/joeis01.html
1630531,Jaden Springer,https://www.basketball-reference.com/players/s/sprinja01.html
202699,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html
201980,Danny Green,https://www.basketball-reference.com/players/g/greenda02.html
1629718,Charlie Brown Jr.,https://www.basketball-reference.com/players/b/brownch02.html
1629003,Shake Milton,https://www.basketball-reference.com/players/m/miltosh01.html
1627777,Georges Niang,https://www.basketball-reference.com/players/n/niangge01.html
203954,Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html
1629680,Matisse Thybulle,https://www.basketball-reference.com/players/t/thybuma01.html
1629646,Charles Bassey,https://www.basketball-reference.com/players/b/bassech01.html
1627732,Ben Simmons,https://www.basketball-reference.com/players/s/simmobe01.html
1627788,Furkan Korkmaz,https://www.basketball-reference.com/players/k/korkmfu01.html
203552,Seth Curry,https://www.basketball-reference.com/players/c/curryse01.html
1630194,Paul Reed,https://www.basketball-reference.com/players/r/reedpa01.html
1629001,De'Anthony Melton,https://www.basketball-reference.com/players/m/meltode01.html
203937,Kyle Anderson,https://www.basketball-reference.com/players/a/anderky01.html
1630214,Xavier Tillman,https://www.basketball-reference.com/players/t/tillmxa01.html
1630179,Tyrell Terry,https://www.basketball-reference.com/players/t/terryty01.html
203500,Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html
1630582,Yves Pons,https://www.basketball-reference.com/players/p/ponsyv01.html
1630583,Santi Aldama,https://www.basketball-reference.com/players/a/aldamsa01.html
1630533,Ziaire Williams,https://www.basketball-reference.com/players/w/willizi02.html
1629630,Ja Morant,https://www.basketball-reference.com/players/m/moranja01.html
1628991,Jaren Jackson Jr.,https://www.basketball-reference.com/players/j/jacksja02.html
1629634,Brandon Clarke,https://www.basketball-reference.com/players/c/clarkbr01.html
1626145,Tyus Jones,https://www.basketball-reference.com/players/j/jonesty01.html
1630217,Desmond Bane,https://www.basketball-reference.com/players/b/banede01.html
1629633,Jarrett Culver,https://www.basketball-reference.com/players/c/culveja01.html
1628415,Dillon Brooks,https://www.basketball-reference.com/players/b/brookdi01.html
1629681,Killian Tillie,https://www.basketball-reference.com/players/t/tilliki02.html
1629723,John Konchar,https://www.basketball-reference.com/players/k/konchjo01.html
201567,Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html
1629164,Brandon Goodwin,https://www.basketball-reference.com/players/g/goodwbr01.html
200765,Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html
1629012,Collin Sexton,https://www.basketball-reference.com/players/s/sextoco01.html
201937,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html
1630596,Evan Mobley,https://www.basketball-reference.com/players/m/mobleev01.html
1630612,RJ Nembhard Jr.,https://www.basketball-reference.com/players/n/nembhrj01.html
1630698,Kevin Pangos,https://www.basketball-reference.com/players/p/pangoke01.html
1630205,Lamar Stevens,https://www.basketball-reference.com/players/s/stevela01.html
1629685,Dylan Windler,https://www.basketball-reference.com/players/w/windldy01.html
1629636,Darius Garland,https://www.basketball-reference.com/players/g/garlada01.html
1626224,Cedi Osman,https://www.basketball-reference.com/players/o/osmande01.html
202334,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html
1628374,Lauri Markkanen,https://www.basketball-reference.com/players/m/markkla01.html
1628386,Jarrett Allen,https://www.basketball-reference.com/players/a/allenja01.html
1629731,Dean Wade,https://www.basketball-reference.com/players/w/wadede01.html
1630171,Isaac Okoro,https://www.basketball-reference.com/players/o/okorois01.html
203903,Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html
1629672,Eric Paschall,https://www.basketball-reference.com/players/p/pascher01.html
204060,Joe Ingles,https://www.basketball-reference.com/players/i/inglejo01.html
1630235,Trent Forrest,https://www.basketball-reference.com/players/f/forretr01.html
1627863,Danuel House Jr.,https://www.basketball-reference.com/players/h/houseda01.html
200752,Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html
201144,Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html
1630215,Jared Butler,https://www.basketball-reference.com/players/b/butleja02.html
1628962,Udoka Azubuike,https://www.basketball-reference.com/players/a/azubuud01.html
202355,Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html
1626220,Royce O'Neale,https://www.basketball-reference.com/players/o/onealro01.html
203497,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html
1630190,Elijah Hughes,https://www.basketball-reference.com/players/h/hugheel01.html
202711,Bojan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo02.html
1628378,Donovan Mitchell,https://www.basketball-reference.com/players/m/mitchdo01.html
1628425,Sterling Brown,https://www.basketball-reference.com/players/b/brownst02.html
203504,Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html
204001,Kristaps Porzingis,https://www.basketball-reference.com/players/p/porzikr01.html
203939,Dwight Powell,https://www.basketball-reference.com/players/p/poweldw01.html
1630182,Josh Green,https://www.basketball-reference.com/players/g/greenjo02.html
1629650,Moses Brown,https://www.basketball-reference.com/players/b/brownmo01.html
1627827,Dorian Finney-Smith,https://www.basketball-reference.com/players/f/finnedo01.html
203501,Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati01.html
1628973,Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html
1628373,Frank Ntilikina,https://www.basketball-reference.com/players/n/ntilila01.html
1629033,Theo Pinson,https://www.basketball-reference.com/players/p/pinsoth01.html
203493,Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html
1627737,Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html
1628467,Maxi Kleber,https://www.basketball-reference.com/players/k/klebima01.html
1626246,Boban Marjanovic,https://www.basketball-reference.com/players/m/marjabo01.html
1629029,Luka Doncic,https://www.basketball-reference.com/players/d/doncilu01.html
1628978,Donte DiVincenzo,https://www.basketball-reference.com/players/d/divindo01.html
201588,George Hill,https://www.basketball-reference.com/players/h/hillge01.html
203918,Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html
1628960,Grayson Allen,https://www.basketball-reference.com/players/a/allengr01.html
1626171,Bobby Portis,https://www.basketball-reference.com/players/p/portibo01.html
201572,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html
1629670,Jordan Nwora,https://www.basketball-reference.com/players/n/nworajo01.html
201950,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html
203114,Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html
202083,Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html
1626192,Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html
1629623,Lindell Wigginton,https://www.basketball-reference.com/players/w/wiggili01.html
203507,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html
1628400,Semi Ojeleye,https://www.basketball-reference.com/players/o/ojelese01.html
203648,Thanasis Antetokounmpo,https://www.basketball-reference.com/players/a/antetth01.html
1630572,Sandro Mamukelashvili,https://www.basketball-reference.com/players/m/mamuksa01.html
1630210,Markus Howard,https://www.basketball-reference.com/players/h/howarma02.html
203210,JaMychal Green,https://www.basketball-reference.com/players/g/greenja01.html
1629008,Michael Porter Jr.,https://www.basketball-reference.com/players/p/portemi01.html
1630538,Bones Hyland,https://www.basketball-reference.com/players/h/hylanbo01.html
202326,DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html
203115,Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html
1630267,Facundo Campazzo,https://www.basketball-reference.com/players/c/campafa01.html
1627854,Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html
1628432,Davon Reed,https://www.basketball-reference.com/players/r/reedda01.html
1628420,Monte Morris,https://www.basketball-reference.com/players/m/morrimo01.html
203999,Nikola Jokic,https://www.basketball-reference.com/players/j/jokicni01.html
1630192,Zeke Nnaji,https://www.basketball-reference.com/players/n/nnajize01.html
203085,Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html
1627750,Jamal Murray,https://www.basketball-reference.com/players/m/murraja01.html
1628427,Vlatko Cancar,https://www.basketball-reference.com/players/c/cancavl01.html
201145,Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html
203932,Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html
1628975,Jevon Carter,https://www.basketball-reference.com/players/c/carteje01.html
1628971,Bruce Brown,https://www.basketball-reference.com/players/b/brownbr01.html
201933,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html
1630561,David Duke Jr.,https://www.basketball-reference.com/players/d/dukeda01.html
201142,Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
201988,Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html
202681,Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html
203925,Joe Harris,https://www.basketball-reference.com/players/h/harrijo01.html
201935,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
1630556,Kessler Edwards,https://www.basketball-reference.com/players/e/edwarke02.html
201949,James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html
1630549,Day'Ron Sharpe,https://www.basketball-reference.com/players/s/sharpda01.html
200746,LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html
1630560,Cam Thomas,https://www.basketball-reference.com/players/t/thomaca02.html
200794,Paul Millsap,https://www.basketball-reference.com/players/m/millspa01.html
1629651,Nic Claxton,https://www.basketball-reference.com/players/c/claxtni01.html
1627761,DeAndre' Bembry,https://www.basketball-reference.com/players/b/bembrde01.html
1630206,Jay Scrubb,https://www.basketball-reference.com/players/s/scrubja01.html
202704,Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html
202695,Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html
1630527,Brandon Boston Jr.,https://www.basketball-reference.com/players/b/bostobr01.html
1628379,Luke Kennard,https://www.basketball-reference.com/players/k/kennalu01.html
1629599,Amir Coffey,https://www.basketball-reference.com/players/c/coffeam01.html
202694,Marcus Morris Sr.,https://www.basketball-reference.com/players/m/morrima03.html
201586,Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html
202339,Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html
202331,Paul George,https://www.basketball-reference.com/players/g/georgpa01.html
1629611,Terance Mann,https://www.basketball-reference.com/players/m/mannte01.html
1630554,Jason Preston,https://www.basketball-reference.com/players/p/prestja01.html
1626159,Justise Winslow,https://www.basketball-reference.com/players/w/winslju01.html
201587,Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html
1627826,Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html
1630553,Keon Johnson,https://www.basketball-reference.com/players/j/johnske07.html
1628392,Isaiah Hartenstein,https://www.basketball-reference.com/players/h/harteis01.html
1628970,Miles Bridges,https://www.basketball-reference.com/players/b/bridgmi02.html
1630163,LaMelo Ball,https://www.basketball-reference.com/players/b/ballla01.html
1626179,Terry Rozier,https://www.basketball-reference.com/players/r/roziete01.html
1630547,James Bouknight,https://www.basketball-reference.com/players/b/bouknja01.html
1629667,Jalen McDaniels,https://www.basketball-reference.com/players/m/mcdanja01.html
202397,Ish Smith,https://www.basketball-reference.com/players/s/smithis01.html
1628998,Cody Martin,https://www.basketball-reference.com/players/m/martico01.html
1626162,Kelly Oubre Jr.,https://www.basketball-reference.com/players/o/oubreke01.html
1630208,Nick Richards,https://www.basketball-reference.com/players/r/richani01.html
1630575,Scottie Lewis,https://www.basketball-reference.com/players/l/lewissc01.html
202330,Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html
1630550,JT Thor,https://www.basketball-reference.com/players/t/thorjt01.html
1630176,Vernon Carey Jr.,https://www.basketball-reference.com/players/c/careyve01.html
1630539,Kai Jones,https://www.basketball-reference.com/players/j/joneska01.html
203486,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html
1629023,P.J. Washington,https://www.basketball-reference.com/players/w/washipj01.html
1629083,Arnoldas Kulboka,https://www.basketball-reference.com/players/k/kulboar01.html
1626156,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html
1630162,Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html
1630183,Jaden McDaniels,https://www.basketball-reference.com/players/m/mcdanja02.html
1629669,Jaylen Nowell,https://www.basketball-reference.com/players/n/nowelja01.html
1627736,Malik Beasley,https://www.basketball-reference.com/players/b/beaslma01.html
1629162,Jordan McLaughlin,https://www.basketball-reference.com/players/m/mclaujo01.html
1629020,Jarred Vanderbilt,https://www.basketball-reference.com/players/v/vandeja01.html
1630195,Leandro Bolmaro,https://www.basketball-reference.com/players/b/bolmale01.html
1627774,Jake Layman,https://www.basketball-reference.com/players/l/laymaja01.html
1629675,Naz Reid,https://www.basketball-reference.com/players/r/reidna01.html
1627752,Taurean Prince,https://www.basketball-reference.com/players/p/princta02.html
1630233,Nathan Knight,https://www.basketball-reference.com/players/k/knighna01.html
1629006,Josh Okogie,https://www.basketball-reference.com/players/o/okogijo01.html
201976,Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html
1630593,McKinley Wright IV,https://www.basketball-reference.com/players/w/wrighmc01.html
1626157,Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html
201609,Goran Dragic,https://www.basketball-reference.com/players/d/dragigo01.html
1628384,OG Anunoby,https://www.basketball-reference.com/players/a/anunoog01.html
