playerid,name,twit_url,twit_handle,insta_url,insta_handle
201580,JaVale McGee,https://twitter.com/JaValeMcGee,JaValeMcGee,https://instagram.com/javalemcgee,javalemcgee
1626164,Devin Booker,https://twitter.com/DevinBook,DevinBook,https://instagram.com/dbook,dbook
203901,Elfrid Payton,https://twitter.com/elfrid,elfrid,https://instagram.com/elfrid,elfrid
101108,Chris Paul,https://twitter.com/CP3,CP3,https://instagram.com/cp3,cp3
1626163,Frank Kaminsky,https://twitter.com/FSKPart3,FSKPart3,https://instagram.com/fskpart3,fskpart3
1630188,Jalen Smith,https://twitter.com/thejalen_smith,thejalen_smith,https://instagram.com/thejalen_smith,thejalen_smith
1627846,Abdel Nader,https://twitter.com/AbdelNader2,AbdelNader2,https://instagram.com/dulenader2,dulenader2
1630688,Ish Wainright,https://twitter.com/Wainright24,Wainright24,https://instagram.com/mailman24,mailman24
1629013,Landry Shamet,https://twitter.com/landryshamet,landryshamet,https://instagram.com/landryshamet,landryshamet
1626166,Cameron Payne,https://twitter.com/campayne,campayne,https://instagram.com/smoothcp1,smoothcp1
202687,Bismack Biyombo,https://twitter.com/bismackbiyombo,bismackbiyombo,https://instagram.com/bismackbiyombo,bismackbiyombo
203967,Dario Saric,https://twitter.com/dariosaric,dariosaric,https://instagram.com/megalodon20,megalodon20
1629028,Deandre Ayton,https://twitter.com/DeandreAyton,DeandreAyton,https://instagram.com/deandreayton,deandreayton
1629661,Cameron Johnson,,,https://instagram.com/camjohnson23,camjohnson23
1628969,Mikal Bridges,https://twitter.com/mikal_bridges,mikal_bridges,https://instagram.com/mikalbridges,mikalbridges
203109,Jae Crowder,https://twitter.com/CJC9BOSS,CJC9BOSS,https://instagram.com/bossmann99,bossmann99
1629216,Gabe Vincent,https://twitter.com/iamgabevincent2,iamgabevincent2,https://instagram.com/iamgabevincent2,iamgabevincent2
203506,Victor Oladipo,https://twitter.com/VicOladipo,VicOladipo,https://instagram.com/vicoladipo,vicoladipo
1629657,Kyle Guy,https://twitter.com/kylejguy,kylejguy,https://instagram.com/kylejguy,kylejguy
200768,Kyle Lowry,https://twitter.com/Klow7,Klow7,https://instagram.com/kyle_lowry7,kyle_lowry7
202693,Markieff Morris,https://twitter.com/Keefmorris,Keefmorris,https://instagram.com/keefmorris5.0,keefmorris5.0
1629644,KZ Okpala,https://twitter.com/kz_okpala_,kz_okpala_,https://instagram.com/kzokpala,kzokpala
1628389,Bam Adebayo,https://twitter.com/Bam1of1,Bam1of1,https://instagram.com/Bam1of1,Bam1of1
1629639,Tyler Herro,https://twitter.com/raf_tyler,raf_tyler,https://instagram.com/nolimitherro,nolimitherro
1628997,Caleb Martin,https://twitter.com/Calebmartin14,Calebmartin14,https://instagram.com/caleb_martin10,caleb_martin10
200782,P.J. Tucker,,,https://instagram.com/pjtucker,pjtucker
203473,Dewayne Dedmon,https://twitter.com/d_dedmon3,d_dedmon3,https://instagram.com/d_dedmon3,d_dedmon3
202710,Jimmy Butler,https://twitter.com/JimmyButler,JimmyButler,https://instagram.com/jimmybutler,jimmybutler
1629735,Chris Silva,https://twitter.com/SilvaObame,SilvaObame,https://instagram.com/correiaysilva,correiaysilva
1629622,Max Strus,,,https://instagram.com/maxstrus,maxstrus
2617,Udonis Haslem,https://twitter.com/ThisIsUD,ThisIsUD,https://instagram.com/ud40,ud40
1629130,Duncan Robinson,https://twitter.com/D_Bo20,D_Bo20,https://instagram.com/d_bo20,d_bo20
1630209,Omer Yurtseven,https://twitter.com/OmerYurtseven5,OmerYurtseven5,https://instagram.com/omeryurtseven,omeryurtseven
1630792,Malcolm Hill,https://twitter.com/Malcolmillini21,Malcolmillini21,https://instagram.com/malcolmillini21,malcolmillini21
1629632,Coby White,https://twitter.com/CobyWhite,CobyWhite,https://instagram.com/cobywhite,cobywhite
1628366,Lonzo Ball,https://twitter.com/ZO2_,ZO2_,https://instagram.com/zo,zo
1627884,Derrick Jones Jr.,https://twitter.com/TheRea1DJones,TheRea1DJones,https://instagram.com/therea1djones,therea1djones
1627936,Alex Caruso,https://twitter.com/ACFresh21,ACFresh21,https://instagram.com/acfresh21,acfresh21
1628972,Troy Brown Jr.,https://twitter.com/Troy_Brown33,Troy_Brown33,https://instagram.com/troybrown.jr,troybrown.jr
203897,Zach LaVine,https://twitter.com/ZachLaVine,ZachLaVine,https://instagram.com/zachlavine8,zachlavine8
202696,Nikola Vucevic,https://twitter.com/NikolaVucevic,NikolaVucevic,https://instagram.com/nikola9vucevic,nikola9vucevic
201942,DeMar DeRozan,https://twitter.com/DeMar_DeRozan,DeMar_DeRozan,https://instagram.com/demar_derozan,demar_derozan
1630245,Ayo Dosunmu,https://twitter.com/AyoDos_11,AyoDos_11,https://instagram.com/ayodos_11,ayodos_11
1628396,Tony Bradley,https://twitter.com/ToBrad1,ToBrad1,https://instagram.com/tobrad13,tobrad13
1630250,Marko Simonovic,https://twitter.com/simke12,simke12,https://instagram.com/simke_12,simke_12
1629744,Matt Thomas,https://twitter.com/Theiceman_21,Theiceman_21,https://instagram.com/mattthomas_21,mattthomas_21
1629750,Javonte Green,https://twitter.com/2Xtremebounce,2Xtremebounce,https://instagram.com/savagewoo2,savagewoo2
1629076,Tyler Cook,https://twitter.com/iamtc25,iamtc25,https://instagram.com/iamtc25,iamtc25
1628035,Alfonzo McKinnie,https://twitter.com/_Alvo_,_Alvo_,https://instagram.com/_alvo_,_alvo_
1630172,Patrick Williams,https://twitter.com/patricklw4,patricklw4,https://instagram.com/patwilliams,patwilliams
1627780,Gary Payton II,https://twitter.com/GaryPayton,GaryPayton,,
1630228,Jonathan Kuminga,https://twitter.com/JonathanKuming6,JonathanKuming6,https://instagram.com/jonathan_kuminga,jonathan_kuminga
1627814,Damion Lee,https://twitter.com/Dami0nLee,Dami0nLee,https://instagram.com/dami0nlee,dami0nlee
1629185,Chris Chiozza,https://twitter.com/Chiozza11,Chiozza11,https://instagram.com/chiozza11,chiozza11
1629673,Jordan Poole,,,https://instagram.com/jordan_poole,jordan_poole
1630541,Moses Moody,https://twitter.com/mosesmoody,mosesmoody,https://instagram.com/mosesmoody,mosesmoody
1626172,Kevon Looney,https://twitter.com/Loon_Rebel5,Loon_Rebel5,https://instagram.com/looney,looney
202357,Nemanja Bjelica,https://twitter.com/NemanjaBjelica,NemanjaBjelica,https://instagram.com/nemanjabjelica8,nemanjabjelica8
2738,Andre Iguodala,https://twitter.com/andre,andre,https://instagram.com/andre,andre
202691,Klay Thompson,https://twitter.com/KlayThompson,KlayThompson,https://instagram.com/klaythompson,klaythompson
1629683,Quinndary Weatherspoon,https://twitter.com/IAM_QUINN11,IAM_QUINN11,https://instagram.com/iamquinn_11,iamquinn_11
203952,Andrew Wiggins,https://twitter.com/22wiggins,22wiggins,https://instagram.com/22wiggins,22wiggins
203110,Draymond Green,https://twitter.com/Money23Green,Money23Green,https://instagram.com/money23green,money23green
201939,Stephen Curry,https://twitter.com/StephenCurry30,StephenCurry30,https://instagram.com/stephencurry30,stephencurry30
203490,Otto Porter Jr.,https://twitter.com/OttoPorter,OttoPorter,,
1630164,James Wiseman,https://twitter.com/BigTicket_JW,BigTicket_JW,https://instagram.com/bigticket_j13,bigticket_j13
1629308,Juan Toscano-Anderson,https://twitter.com/juanonjuan10,juanonjuan10,https://instagram.com/juanonjuan10,juanonjuan10
1630178,Tyrese Maxey,https://twitter.com/TyreseMaxey,TyreseMaxey,https://instagram.com/tyresemaxey,tyresemaxey
203083,Andre Drummond,https://twitter.com/AndreDrummond,AndreDrummond,https://instagram.com/andredrummondd,andredrummondd
1629619,Myles Powell,https://twitter.com/YDWILU,YDWILU,https://instagram.com/2mbp_,2mbp_
1630198,Isaiah Joe,https://twitter.com/zai_joe1,zai_joe1,https://instagram.com/zai.joe1,zai.joe1
1630531,Jaden Springer,https://twitter.com/jadenspringer11,jadenspringer11,https://instagram.com/jaden,jaden
202699,Tobias Harris,https://twitter.com/tobias31,tobias31,https://instagram.com/tobiasharris,tobiasharris
201980,Danny Green,https://twitter.com/DGreen_14,DGreen_14,https://instagram.com/greenranger14,greenranger14
1629718,Charlie Brown Jr.,https://twitter.com/charleskbrownjr,charleskbrownjr,,
1629003,Shake Milton,https://twitter.com/SniperShake,SniperShake,https://instagram.com/snipershake,snipershake
1627777,Georges Niang,https://twitter.com/GeorgesNiang20,GeorgesNiang20,https://instagram.com/georgesniang,georgesniang
203954,Joel Embiid,https://twitter.com/JoelEmbiid,JoelEmbiid,https://instagram.com/joelmbiid,joelmbiid
1629680,Matisse Thybulle,https://twitter.com/MatisseThybulle,MatisseThybulle,https://instagram.com/theycallmetisse,theycallmetisse
1629646,Charles Bassey,https://twitter.com/CB_ONES23,CB_ONES23,https://instagram.com/cb_ones23,cb_ones23
1627732,Ben Simmons,https://twitter.com/BenSimmons25,BenSimmons25,https://instagram.com/bensimmons,bensimmons
1627788,Furkan Korkmaz,https://twitter.com/FurkanKorkmaz,FurkanKorkmaz,https://instagram.com/furkankorkmaz,furkankorkmaz
203552,Seth Curry,https://twitter.com/sdotcurry,sdotcurry,https://instagram.com/sdotcurry,sdotcurry
1630194,Paul Reed,https://twitter.com/Bball_paul,Bball_paul,https://instagram.com/bball_paul,bball_paul
1629001,De'Anthony Melton,https://twitter.com/DeAnthonyMelton,DeAnthonyMelton,https://instagram.com/deanthonymelton,deanthonymelton
203937,Kyle Anderson,https://twitter.com/KyleAnderson5,KyleAnderson5,https://instagram.com/teamslowmo,teamslowmo
1630214,Xavier Tillman,https://twitter.com/Rookiedunker,Rookiedunker,https://instagram.com/xavier_tillman23,xavier_tillman23
1630179,Tyrell Terry,https://twitter.com/tyterry05,tyterry05,https://instagram.com/tyterry_,tyterry_
203500,Steven Adams,https://twitter.com/RealStevenAdams,RealStevenAdams,https://instagram.com/stevenadams,stevenadams
1630582,Yves Pons,https://twitter.com/Airpons,Airpons,https://instagram.com/yves_airpons,yves_airpons
1630583,Santi Aldama,https://twitter.com/santialdama,santialdama,https://instagram.com/santialdama,santialdama
1630533,Ziaire Williams,https://twitter.com/therealZiaire,therealZiaire,https://instagram.com/ziaire,ziaire
1629630,Ja Morant,https://twitter.com/JaMorant,JaMorant,https://instagram.com/jamorant,jamorant
1628991,Jaren Jackson Jr.,,,,
1629634,Brandon Clarke,https://twitter.com/brandonclarke23,brandonclarke23,https://instagram.com/brandon_clarke23,brandon_clarke23
1626145,Tyus Jones,https://twitter.com/1Tyus,1Tyus,https://instagram.com/1tyus,1tyus
1630217,Desmond Bane,https://twitter.com/DBane0625,DBane0625,https://instagram.com/_dbane1,_dbane1
1629633,Jarrett Culver,https://twitter.com/jarrettc08,jarrettc08,https://instagram.com/jarrett_23,jarrett_23
1628415,Dillon Brooks,https://twitter.com/dillonbrooks24,dillonbrooks24,https://instagram.com/dillonbrooks24,dillonbrooks24
1629681,Killian Tillie,https://twitter.com/KillianTillie,KillianTillie,https://instagram.com/kill_till_33,kill_till_33
1629723,John Konchar,https://twitter.com/konchjitty55,konchjitty55,https://instagram.com/konchar,konchar
201567,Kevin Love,https://twitter.com/kevinlove,kevinlove,https://instagram.com/kevinlove,kevinlove
1629164,Brandon Goodwin,https://twitter.com/goodysav,goodysav,https://instagram.com/toughlay,toughlay
200765,Rajon Rondo,https://twitter.com/RajonRondo,RajonRondo,https://instagram.com/rajonrondo,rajonrondo
1629012,Collin Sexton,https://twitter.com/CollinSexton02,CollinSexton02,https://instagram.com/collinyoungbull,collinyoungbull
201937,Ricky Rubio,https://twitter.com/rickyrubio9,rickyrubio9,https://instagram.com/ruuufio,ruuufio
1630596,Evan Mobley,https://twitter.com/evanmobley,evanmobley,https://instagram.com/evanmobley4,evanmobley4
1630612,RJ Nembhard Jr.,https://twitter.com/RubeNembhard,RubeNembhard,,
1630698,Kevin Pangos,https://twitter.com/KPangos,KPangos,https://instagram.com/kpangos,kpangos
1630205,Lamar Stevens,https://twitter.com/LamarStevens11,LamarStevens11,https://instagram.com/marstevens11,marstevens11
1629685,Dylan Windler,https://twitter.com/Dylan_Windler23,Dylan_Windler23,https://instagram.com/d_win23,d_win23
1629636,Darius Garland,https://twitter.com/dariusgarland22,dariusgarland22,https://instagram.com/darius_garland,darius_garland
1626224,Cedi Osman,https://twitter.com/cediosman,cediosman,https://instagram.com/cediosman,cediosman
202334,Ed Davis,https://twitter.com/eddavisXVII,eddavisXVII,https://instagram.com/eddavisxvii,eddavisxvii
1628374,Lauri Markkanen,https://twitter.com/MarkkanenLauri,MarkkanenLauri,https://instagram.com/laurimarkkanen,laurimarkkanen
1628386,Jarrett Allen,https://twitter.com/_bigjayy_,_bigjayy_,https://instagram.com/_bigjayy_,_bigjayy_
1629731,Dean Wade,https://twitter.com/deanwade3232,deanwade3232,https://instagram.com/deanwade32,deanwade32
1630171,Isaac Okoro,https://twitter.com/isaacokoro303,isaacokoro303,https://instagram.com/isaacokoro,isaacokoro
203903,Jordan Clarkson,https://twitter.com/JordanClarksons,JordanClarksons,https://instagram.com/jordanclarksons,jordanclarksons
1629672,Eric Paschall,https://twitter.com/epaschall,epaschall,https://instagram.com/epaschall,epaschall
204060,Joe Ingles,https://twitter.com/Joeingles7,Joeingles7,https://instagram.com/joeingles7,joeingles7
1630235,Trent Forrest,https://twitter.com/TForrest_11,TForrest_11,https://instagram.com/trentforrest,trentforrest
1627863,Danuel House Jr.,https://twitter.com/DanuelHouseJr,DanuelHouseJr,https://instagram.com/dk2house,dk2house
200752,Rudy Gay,https://twitter.com/RudyGay,RudyGay,https://instagram.com/rudygay,rudygay
201144,Mike Conley,https://twitter.com/mconley11,mconley11,https://instagram.com/mac10,mac10
1630215,Jared Butler,https://twitter.com/J_Hooper11,J_Hooper11,https://instagram.com/_xjaredx_,_xjaredx_
1628962,Udoka Azubuike,https://twitter.com/udoka35,udoka35,https://instagram.com/udoka_azubuike,udoka_azubuike
202355,Hassan Whiteside,https://twitter.com/youngwhiteside,youngwhiteside,https://instagram.com/hassanwhiteside,hassanwhiteside
1626220,Royce O'Neale,https://twitter.com/BucketsONeale00,BucketsONeale00,https://instagram.com/rolls_royce00,rolls_royce00
203497,Rudy Gobert,https://twitter.com/rudygobert27,rudygobert27,https://instagram.com/rudygobert27,rudygobert27
1630190,Elijah Hughes,https://twitter.com/elijahhughes4_,elijahhughes4_,https://instagram.com/_elijahhughes,_elijahhughes
202711,Bojan Bogdanovic,https://twitter.com/44Bojan,44Bojan,https://instagram.com/44bojan,44bojan
1628378,Donovan Mitchell,https://twitter.com/spidadmitchell,spidadmitchell,https://instagram.com/spidadmitchell,spidadmitchell
1628425,Sterling Brown,https://twitter.com/thatnegus_sb,thatnegus_sb,https://instagram.com/sb23_thegeneral,sb23_thegeneral
203504,Trey Burke,https://twitter.com/TreyBurke,TreyBurke,https://instagram.com/treyburke,treyburke
204001,Kristaps Porzingis,https://twitter.com/kporzee,kporzee,https://instagram.com/kporzee,kporzee
203939,Dwight Powell,https://twitter.com/DwightPowell33,DwightPowell33,https://instagram.com/dwightpowell,dwightpowell
1630182,Josh Green,https://twitter.com/JoshBGreen,JoshBGreen,https://instagram.com/joshgreen,joshgreen
1629650,Moses Brown,https://twitter.com/MosesBrown_,MosesBrown_,https://instagram.com/moses_tv,moses_tv
1627827,Dorian Finney-Smith,https://twitter.com/doefinney_10,doefinney_10,https://instagram.com/doedoe_10,doedoe_10
203501,Tim Hardaway Jr.,https://twitter.com/HardawaySr,HardawaySr,,
1628973,Jalen Brunson,https://twitter.com/jalenbrunson1,jalenbrunson1,https://instagram.com/jalenbrunson1,jalenbrunson1
1628373,Frank Ntilikina,https://twitter.com/FrankLikina,FrankLikina,https://instagram.com/frank_ntilikina,frank_ntilikina
1629033,Theo Pinson,https://twitter.com/tpinsonn,tpinsonn,https://instagram.com/tpinsonn,tpinsonn
203493,Reggie Bullock,https://twitter.com/ReggieBullock35,ReggieBullock35,https://instagram.com/y0bull,y0bull
1627737,Marquese Chriss,https://twitter.com/quese,quese,https://instagram.com/quese,quese
1628467,Maxi Kleber,https://twitter.com/MaxiKleber,MaxiKleber,https://instagram.com/maximilian.kleber,maximilian.kleber
1626246,Boban Marjanovic,https://twitter.com/BobanMarjanovic,BobanMarjanovic,https://instagram.com/boban,boban
1629029,Luka Doncic,https://twitter.com/luka7doncic,luka7doncic,https://instagram.com/lukadoncic,lukadoncic
1628978,Donte DiVincenzo,https://twitter.com/Divincenzo,Divincenzo,https://instagram.com/divincenzo,divincenzo
201588,George Hill,https://twitter.com/George_Hill3,George_Hill3,https://instagram.com/indianageorge3,indianageorge3
203918,Rodney Hood,https://twitter.com/rodneyhood,rodneyhood,https://instagram.com/hoodie5,hoodie5
1628960,Grayson Allen,https://twitter.com/GraysonJAllen,GraysonJAllen,https://instagram.com/graysonjallen,graysonjallen
1626171,Bobby Portis,https://twitter.com/BPortistime,BPortistime,https://instagram.com/bportistime,bportistime
201572,Brook Lopez,https://twitter.com/RealBrookLopez,RealBrookLopez,,
1629670,Jordan Nwora,https://twitter.com/JordanNwora,JordanNwora,https://instagram.com/jordannwora,jordannwora
201950,Jrue Holiday,https://twitter.com/Jrue_Holiday11,Jrue_Holiday11,https://instagram.com/jrue_holiday11,jrue_holiday11
203114,Khris Middleton,https://twitter.com/Khris22m,Khris22m,https://instagram.com/k_mid22,k_mid22
202083,Wesley Matthews,https://twitter.com/WessyWes23,WessyWes23,https://instagram.com/wessywes23,wessywes23
1626192,Pat Connaughton,https://twitter.com/pconnaughton,pconnaughton,https://instagram.com/patconnaughton,patconnaughton
1629623,Lindell Wigginton,https://twitter.com/Lwigginton5,Lwigginton5,https://instagram.com/rnstmojo,rnstmojo
203507,Giannis Antetokounmpo,https://twitter.com/Giannis_An34,Giannis_An34,https://instagram.com/Giannis_An34,Giannis_An34
1628400,Semi Ojeleye,https://twitter.com/semi,semi,https://instagram.com/semi,semi
203648,Thanasis Antetokounmpo,https://twitter.com/Thanasis_ante43,Thanasis_ante43,https://instagram.com/thanasis_ante43,thanasis_ante43
1630572,Sandro Mamukelashvili,https://twitter.com/Mamukelashvili5,Mamukelashvili5,https://instagram.com/ma23mu,ma23mu
1630210,Markus Howard,https://twitter.com/markushoward11,markushoward11,https://instagram.com/markus.howard,markus.howard
203210,JaMychal Green,https://twitter.com/Jmyke1,Jmyke1,https://instagram.com/roadtoriches_0,roadtoriches_0
